rank	username	minecraft:dropped/minecraft:gray_shulker_box
1	thewindmillman	129
2	Jackattack53	120
3	Hyp3rion_	15
4	FirsTimeGamingTV	12
5	pintsizedrogue	11
6	gcaisawesome	10
6	Eraxa	10
8	Mahoose	7
8	rarrq	7
8	Jimb0nat0r	7
11	500am	6
12	Auseawesome	5
13	lordpipe	4
14	Lez_	3
14	joethahobo	3
14	beeperbeeper5	3
14	kekhon	3
14	Akoot_	3
14	ChronoSounds	3
20	PazinGaming	2
20	MattieHD	2
20	Werbe	2
20	sxc_	2
20	Blu3beast	2
20	ConnorDanky_	2
20	Smoke____	2
27	_Huge_Male_	1
27	teslawolf38	1
27	ImpavidArcher	1
27	Incinere	1
27	eitanzaki	1
27	Huwulling	1
27	TheSecondLord	1
27	lorpus	1
27	surfinggiraffejp	1
27	Di_infiri	1
27	k1ngGilgamesh	1
27	RobotMinion101	1
27	cedric72	1
27	TheShyPig	1
27	Jimi7hits	1
27	TheSeismicDuck	1
27	RoofTyler	1
27	claivin	1
27	StinkyDiplomat	1
27	Racengan	1
27	OffWithTheirHead	1
27	Kowcio_	1
27	YungMaki	1
27	RealGroot	1
27	Skippeh	1
27	Ezekson	1
27	jnp_gaming	1
27	PlasticOtari	1
27	bladeefan2009	1
27	JayToe	1
27	Faart	1
