rank	username	minecraft:dropped/minecraft:acacia_slab
1	Mahoose	631
2	AdmiralSmoke	295
3	beeperbeeper5	233
4	TastyPorkchop	221
5	cichy096	148
6	Onennon	135
7	Manaateee	108
8	eitanzaki	103
9	Spacewardharpy7	87
10	Blaiku	74
11	lillips	69
12	Jackattack53	54
13	funeralhome	37
14	_Huge_Male_	36
15	noam464	32
16	GreedyFern8581	29
17	starbits140	26
18	Vizzoid	18
19	FreakGenius	16
20	fade_emerge78823	13
20	_Karmaa	13
22	ImpavidArcher	12
22	Lez_	12
22	ThePoliteG	12
22	Barlycorn	12
26	Quaintster	11
27	12Magner05	10
27	SvenskaHugo	10
29	Segotep999	9
30	kekhon	8
30	LeeMcGee30	8
30	Steelynan	8
33	Merv__	6
33	WET_WET_WET	6
33	xzvu	6
33	TechnoNinja64	6
37	T045RTY	5
37	Fractured_	5
37	TheSecondLord	5
37	SkateboardR6	5
37	Nicserso	5
42	Vellu21	4
42	JayToe	4
44	Apollo_993	3
44	SmashingPump	3
44	youhjjhhhjj	3
44	SteveCraftBlocks	3
44	Mattesco	3
44	fw3xy74	3
44	_Ruzeeq_	3
44	smogfrog	3
52	Groovy_MoonBird	2
52	Frozil20	2
52	CoffeeNoir	2
52	Zedducius	2
52	4774	2
52	lorpus	2
52	fkGrim	2
52	iSammael	2
52	Enderxz3	2
61	EMC_	1
61	MrKrabOnCoke	1
61	Touched_Bread	1
61	thatbeanyboi	1
61	TheShyPig	1
61	Gryglu583	1
61	luseis	1
61	C0oOK13M0N5T3R	1
61	Soplight	1
61	ConnorDanky_	1
