rank	username	minecraft:dropped/minecraft:wooden_shovel
1	noam464	373
2	oscminus	94
3	Soplight	88
4	PlzNoBM	48
5	EcksD	34
6	Enderxz3	32
7	Merv__	31
8	ogoa	30
9	Awyrlas	27
10	pixelviolin	22
11	Lez_	17
11	SkateboardR6	17
11	LuvLuvLove	17
14	djancak	15
15	SteveCraftBlocks	12
15	Smaldo	12
17	Blaiku	11
17	_3Stump_	11
19	Fuad_R	10
20	Kowcio_	9
21	_Virify_	6
21	Mattesco	6
23	lotarp	5
24	Pundehoo	4
25	mymayowasgone	3
25	diamondgolem35	3
25	Archsam	3
25	12Magner05	3
25	AlexxO_o	3
25	HoldThatPee	3
25	NameGenerat0r	3
25	the__Reaper4999	3
25	Zetsey	3
25	Kferno	3
25	Powowowow	3
36	xExpresso	2
36	weezygator	2
36	KarlKaek	2
36	Literally_Rat	2
36	beeperbeeper5	2
36	Albertalo	2
36	Smashic	2
36	Irko	2
36	Mewar	2
36	actour	2
36	DermeinUser	2
36	CarltheCuck	2
36	CranialBlowout	2
36	Rebytre	2
36	Skylord_Luke	2
36	ooga47	2
36	NormanFetus	2
36	parodypatient	2
36	Tyrannosplart	2
36	E775	2
36	Racengan	2
36	THEKINGLyric10	2
36	VintagePlays	2
36	Razzgriz	2
36	StarCookiees_	2
36	BlankityMcBlank	2
36	Segotep999	2
36	__tomato	2
36	Moetis	2
36	Ezekson	2
36	ConnorDanky_	2
36	SirDodgyBob	2
68	Louiis123	1
68	Lepthymo	1
68	pintsizedrogue	1
68	Groovy_MoonBird	1
68	elicobnoah	1
68	WinterSepp	1
68	Mowelan	1
68	EdaterPure	1
68	SoosAmongus	1
68	BPTY4618	1
68	Napoleonpancake	1
68	teslawolf38	1
68	Saltymart	1
68	DinoDoctor_	1
68	CryoInferno_	1
68	Atomagus	1
68	eitanzaki	1
68	Mahoose	1
68	Prismyst	1
68	Blackberry1310	1
68	TheSecondLord	1
68	MedSeaArch	1
68	i2f8x4h8ro	1
68	Ithaca19	1
68	Hoshi	1
68	hcb238	1
68	TylerDupree	1
68	BlueZabu	1
68	Winklepicker279	1
68	fr_ser	1
68	milltesco	1
68	caesarleon	1
68	Hyp3rion_	1
68	wTXop	1
68	DeuceTempestus	1
68	BusinesManFrecks	1
68	Parcc	1
68	TheSoggyToaster	1
68	DeeDeeThonk	1
68	Kynigito	1
68	sitrollover	1
68	_bruhhhhh	1
68	jewbacaman	1
68	Cattoh	1
68	Inkax	1
68	SpouHn	1
68	ese_wn_po	1
68	KermitTheKripple	1
68	DarlaMeow	1
68	HellsSponge	1
68	FreakGenius	1
68	cuddlyMonster	1
68	Xclax101	1
68	LuisCarreroBla	1
68	ConJaBz	1
68	Groundler	1
68	yoyoYoloMonke	1
68	D3m0nik	1
68	critNoxx	1
68	Spacewardharpy7	1
68	Vicemaniac	1
68	Airem_Core	1
68	IAmTheWalrus910	1
68	jewishnoselong	1
68	ZeaBaron	1
68	somegirl12_	1
68	alkrie	1
68	SammiWolfGirl	1
68	DennyKai	1
68	Sheldor097	1
68	BloxyReality	1
68	Steelynan	1
68	Eczbek	1
68	TrollerYT	1
68	DairyNickel756	1
68	JasmineGK	1
68	Legendosh	1
68	jnp_gaming	1
68	vandmanden	1
68	Yamdalorian	1
