rank	username	minecraft:dropped/minecraft:fire_charge
1	Frozil20	18384
2	Jackattack53	8994
3	Hyp3rion_	4030
4	thewindmillman	3551
5	noam464	2620
6	Blaiku	2478
7	eitanzaki	575
8	luseis	383
9	Di_infiri	325
10	YungMaki	212
11	Fullut	201
12	Smashic	192
13	PigDab	174
14	pintsizedrogue	128
14	Jimb0nat0r	128
16	gcaisawesome	114
17	beeperbeeper5	104
18	EcksD	85
19	Segotep999	75
20	_Mythic____	72
21	mihimihimihi	70
22	emrekn	64
23	AdmiralSmoke	45
24	lillips	44
25	Mahoose	25
26	oscminus	18
27	MakeHistory157	16
28	NatalieTW	15
29	Winklepicker279	14
29	Luigipunch989	14
31	thescout7	12
32	jnp_gaming	10
33	livingdaydreams	9
33	CalebDHawk	9
35	Soplight	8
35	ConnorDanky_	8
37	T045RTY	7
38	mwrty	4
39	12Magner05	3
39	Yahir091	3
41	_Virify_	2
41	PhantomsGhost_	2
41	Cowison	2
41	tramizu	2
41	rarrq	2
41	Secret_Canary	2
41	Master_Kol	2
41	hanaryheatwave	2
41	Krowuss	2
41	Rebytre	2
41	Mattesco	2
41	AlexxO_o	2
41	Qorbyn	2
41	Razzgriz	2
41	TheEnderMan548	2
41	NATE_the_HALO	2
41	TheALV	2
41	Nicserso	2
59	k_ce	1
59	CLG_Kata	1
59	SoosAmongus	1
59	ECstardust	1
59	EMC_	1
59	TemoraScorpendra	1
59	hm947	1
59	_Razaria	1
59	ITDV	1
59	Cellcorgi649	1
59	RIPB0ZO	1
59	M_Patata	1
59	trixterrx	1
59	Chromary	1
59	PaperCanvas	1
59	EveryonesUncle	1
59	NameGenerat0r	1
59	MineMaster0012	1
59	stellarjay	1
59	BungalowBeet	1
59	2blox_	1
59	skrongus	1
59	FishisTTV	1
