rank	username	minecraft:dropped/minecraft:cracked_polished_blackstone_bricks
1	thewindmillman	859
2	lizardfightclub	236
3	Blaiku	188
4	PazinGaming	184
5	TheSecondLord	166
6	EveryonesUncle	163
7	Racengan	150
8	Cowison	145
9	Secret_Canary	144
10	_i_ERROR_i_	143
11	r123moore	116
12	excelsionprime	106
13	Zythose	105
14	Kowcio_	98
15	Hyp3rion_	95
16	Segotep999	94
17	ECstardust	79
18	livingdaydreams	73
19	Fullut	72
20	MSK__	57
21	kekhon	52
22	Enderxz3	48
23	k_ce	47
24	ShedJr_	44
25	Groovy_MoonBird	40
25	T045RTY	40
25	NomadicRobin_	40
28	j5ylim	35
29	Frigzy_	34
29	tartanboy	34
31	FreakGenius	32
32	Di_infiri	30
32	monky_irl	30
34	eitanzaki	29
35	noam464	28
35	YungMaki	28
37	Winklepicker279	27
37	NATE_the_HALO	27
39	HolyVenom	24
40	Alteriity	21
41	Apollo_993	19
42	mwrty	17
42	Afinnity	17
42	LazySupport00	17
45	Synthoum	16
46	q_wq	14
46	Marbz_	14
46	annebolyn	14
49	Merv__	13
49	MattieHD	13
51	SquadMonster	12
51	benediktine1	12
51	djancak	12
51	trexgb	12
55	NieToksikpl	11
55	FishyBoy3811	11
55	EcksD	11
58	masskedman	10
58	Blu3beast	10
58	Kubeusz2010	10
61	fluddd	9
62	EMC_	8
62	JitteryJared2	8
62	pixelviolin	8
62	Luigipunch989	8
66	Crizma_	7
66	Kakolbus	7
66	Hahaa_0	7
66	SingedBread	7
70	pintsizedrogue	6
70	Travasaur	6
70	77Holly7	6
70	set67	6
70	mariominejedi	6
70	iSammael	6
70	Iamthejo	6
77	beeperbeeper5	5
77	12Magner05	5
77	WET_WET_WET	5
77	Spacewardharpy7	5
77	Yamdalorian	5
82	Druid95	4
82	IvarEXE	4
84	diamondgolem35	3
84	Mahoose	3
84	lorpus	3
84	AlexxO_o	3
84	Dakar_	3
84	wwwwinnebagoooo	3
84	PlasticOtari	3
91	RebelAndroid	2
91	ChampPog_	2
91	Blackberry1310	2
91	ROY4LE	2
91	whoaluv	2
91	Skylord_Luke	2
91	F_Uhre	2
91	FelixPSY375	2
91	Legendosh	2
91	skitzxo	2
91	WYFYoyo	2
91	diggydog67	2
103	_Virify_	1
103	BlancoFlaco	1
103	_Razaria	1
103	Da_Boss_Rani	1
103	Crowman1	1
103	500am	1
103	fade_emerge78823	1
103	Mr_Froxy	1
103	yulgur1	1
103	Manaateee	1
103	HellsSponge	1
103	Spenduh	1
103	MilleGrug	1
103	youarefrench_	1
