rank	username	minecraft:dropped/minecraft:yellow_shulker_box
1	thewindmillman	1866
2	Hyp3rion_	1015
3	Jackattack53	44
4	Lez_	20
4	Smashic	20
6	tuckerdoodle	17
7	eitanzaki	15
7	NomadicRobin_	15
9	wezzzi	14
10	luseis	12
11	joethahobo	11
11	beeperbeeper5	11
11	Kowcio_	11
14	noam464	9
14	Blu3beast	9
14	Legendosh	9
14	xolstoi	9
18	Segotep999	8
18	jnp_gaming	8
18	AdmiralSmoke	8
21	Huwulling	7
21	EcksD	7
23	pintsizedrogue	6
23	TheSecondLord	6
23	hanaryheatwave	6
23	k1ngGilgamesh	6
23	jcool7	6
23	Steelynan	6
29	Mahoose	5
29	kekhon	5
29	Marbz_	5
29	Akoot_	5
29	lillips	5
29	MovingFish7	5
29	ConnorDanky_	5
29	Jimb0nat0r	5
37	Alteriity	4
37	GoofyBread	4
37	UCP_TheKingK	4
40	Swexti	3
40	Blackberry1310	3
40	Awyrlas	3
40	Ecplosive	3
40	Rebytre	3
40	ApophisNova	3
40	Luminad3	3
40	MAns_44	3
40	MyNamaSheff	3
49	PazinGaming	2
49	Frozil20	2
49	H72l9w	2
49	Auseawesome	2
49	MattieHD	2
49	EnderKill98	2
49	Arceus1975	2
49	_Boipl_	2
49	Werbe	2
49	Tyrannosplart	2
49	Fuad_R	2
49	NameGenerat0r	2
49	Blaiku	2
49	ProfessorDiaper	2
49	MakeHistory157	2
49	YungMaki	2
49	_i_ERROR_i_	2
49	SpacesickPrism	2
49	KingMatthew506	2
49	alderban107	2
49	TechnoNinja64	2
70	seanitoo	1
70	Bandito_Roamer	1
70	_Huge_Male_	1
70	Deu_Stew	1
70	PhantomsGhost_	1
70	BPTY4618	1
70	TrNrGhost	1
70	teslawolf38	1
70	powercas_gamer	1
70	EMC_	1
70	hm947	1
70	Wooptey	1
70	SyntheticSurgeon	1
70	MOSS000	1
70	Archsam	1
70	Myszoaz	1
70	rarrq	1
70	Euclidoris	1
70	GingerNeutron	1
70	SteveCraftBlocks	1
70	_lildarki3	1
70	Fullut	1
70	Kkanot	1
70	set67	1
70	mwrty	1
70	thescout7	1
70	fade_emerge78823	1
70	Diavri	1
70	ImDisconnected_	1
70	Di_infiri	1
70	SuperPooch06	1
70	whoaluv	1
70	Snowflowe	1
70	DaviusMaximoose	1
70	Krowuss	1
70	oscminus	1
70	Mattesco	1
70	HyperCave	1
70	TheShyPig	1
70	Leyna3	1
70	GooseWithin	1
70	Lord_Jord	1
70	Hahaa_0	1
70	Sorry_Arey	1
70	_Bguette_	1
70	Manaateee	1
70	1442	1
70	claivin	1
70	FreakGenius	1
70	rezi	1
70	Bloo2406	1
70	fluddd	1
70	MightyWertu	1
70	OffWithTheirHead	1
70	Yahir091	1
70	Eraxa	1
70	IdeallyGrey	1
70	Spenduh	1
70	Pundehoo	1
70	SammiWolfGirl	1
70	_TCARREIRA_	1
70	fffMike	1
70	CouncilCody	1
70	Njensen7	1
70	Eczbek	1
70	Enderxz3	1
70	Zoeyfortnite	1
70	_Dri_	1
70	Kateesaur	1
