rank	username	minecraft:dropped/minecraft:waxed_oxidized_cut_copper
1	milltesco	43
2	thewindmillman	10
3	Spaghettatron	4
4	beeperbeeper5	2
4	MAns_44	2
6	MyMawgDonaldsGon	1
6	lpinfinity	1
