rank	username	minecraft:dropped/minecraft:tuff_bricks
1	Spaghettatron	256
2	thewindmillman	122
3	MyMawgDonaldsGon	79
4	oscminus	77
5	Buuck_	70
6	Secret_Canary	67
7	net_flex	35
8	CLG_Kata	28
9	TheKingK_	13
10	lpinfinity	9
11	k_ce	4
12	Pumpkin_P_Patch	2
