rank	username	minecraft:dropped/minecraft:grass_block
1	noam464	29217
2	joethahobo	14285
3	Freak_Genius	12242
4	beeperbeeper5	11345
5	eitanzaki	8113
6	Blackberry1310	5927
7	Di_infiri	5494
8	Werbe	5072
9	lillips	3974
10	YungMaki	3440
11	TheShyPig	3362
12	Winklepicker279	3032
13	TechnoNinja64	2924
14	lordpipe	2864
15	thewindmillman	2862
16	sadvavilloso	2816
17	Mahoose	2795
18	stahouo	2585
19	Spacewardharpy7	2488
20	PigDab	2330
21	thescout7	1865
22	Frozil12	1816
23	HesDemonPants	1643
24	NameGenerat0r	1638
25	Blaiku	1584
26	jnp_gaming	1568
27	Smoke____	1487
28	Akoot_	1446
29	diamondgolem35	1442
30	Swexti	1429
31	gcaisawesome	1339
32	Chromary	1202
33	kekhon	1191
34	Hyp3rion_	1168
35	UncreativeArtist	1149
36	WyngGoy	1145
37	EcksD	1114
38	ShedJr_	1104
39	K_a__a_n	1093
40	set67	1076
41	TheSecondLord	1049
42	paranoid_plant	1034
43	Soplight	1002
44	Enderslayerxz3	982
45	rarrq	968
46	12Magner05	955
47	Eraxa	954
48	sebastiensaborio	948
49	Sky_light_KING	881
50	Dusk_95	820
51	FishyBoy3811	791
52	NomadicRobin_	766
53	Sqwishy	737
54	Jackattack53	701
55	r123moore	700
56	Kowcio_	675
57	oxfordschool	667
58	audiocracked	666
59	ProfessorBee	639
60	The_slideV3	627
61	El_Jalapeno	583
62	Cowison	578
63	HellsSponge	563
64	CueMix	548
65	dragonsleger	547
66	RebelAndroid	541
67	EcksDofficial	534
68	Kakolbus	517
69	Miko_Fullbuster	515
70	_Dean_123	510
71	Syropatathe	507
72	surfinggiraffejp	500
72	chipklip	500
74	emrekn	471
75	Spenduh	468
76	Merv__	466
77	jcool7	445
78	SUN_DREAM	442
79	awesomeoneme	416
80	Skylord_Luke	407
81	IAmTheWalrus910	405
82	Incinere	403
83	Luigipunch989	399
84	Zoeyfortnite	394
85	noodlepack	384
86	Zythose	380
87	MightyWertu	374
88	EveryonesUncle	367
89	fluddd	365
90	Winston_Ingram	359
91	Groundler	342
92	Inchef	341
93	Jiminie	336
94	T045RTY	332
95	xxPipperDipperxx	327
95	MilleGrug	327
97	EMC_	326
98	Blu3beast	314
99	AltnumberF4	307
100	Bad_At_Names_Guy	302
101	500am	295
102	Mewar	280
103	Gundam_Steven	269
104	Rebytre	268
105	Onennon	261
106	_NieToksikpl_	255
107	Ezekson	245
108	Malorn_Aetherius	243
109	_Virify_	237
110	Racengan	235
111	UrbanPlanner1978	233
112	ROY4LE	227
113	HolyVenom	218
113	Darkgon	218
115	crying_wolf_13	216
116	SkateboardR6	207
117	MattieHD	199
118	pintsizedrogue	196
119	bigstankyy	192
119	bloodbiter	192
119	_Bguette_	192
122	Wowful	188
123	Arceus1975	181
124	Nagasaki_Riku	175
125	JEWISHBadenBeele	171
126	anbbang	170
127	RobotMinion101	149
128	FishisTTV	148
129	UltraZombie	147
130	ApophisNova	143
130	MyNamaSheff	143
132	Soap_Bender	140
133	sammidk	136
133	Nicserso	136
135	SteveCraftBlocks	134
136	Bumpy419	129
137	egglapras	128
137	lizardfightclub	128
137	NoChumpChange	128
140	Drlzyy	117
141	MAns_44	112
142	501g	105
143	Historical_Sand	104
