rank	username	minecraft:dropped/minecraft:dead_horn_coral_block
1	TheSecondLord	47
2	kekhon	18
2	lillips	18
4	HellsSponge	7
4	DarkLawD	7
6	eitanzaki	6
7	Bumpy419	5
7	Blu3beast	5
7	djancak	5
10	pintsizedrogue	4
10	Lez_	4
10	Ssor69	4
10	Nagasaki_Riku	4
14	Blackberry1310	2
14	Zaridey	2
14	Onennon	2
17	6king6colt6	1
17	the_fireminer	1
17	Historical_Sand	1
17	ratglock	1
17	bloodbiter	1
17	ProfessorBee	1
17	sandmire	1
17	Arceus1975	1
17	EveryonesUncle	1
17	1442	1
17	QueenShuvi	1
17	lordpipe	1
17	Njensen7	1
17	OfficerAnvil	1
17	Smoke____	1
