rank	username	minecraft:dropped/minecraft:redstone_lamp
1	noam464	807
2	eitanzaki	447
3	Werbe	264
4	thewindmillman	148
5	Blaiku	104
6	lillips	85
7	oxfordschool	64
8	EcksD	59
9	rarrq	52
10	Zythose	46
11	bigstankyy	42
12	SteveCraftBlocks	39
13	ROY4LE	38
14	Sky_light_KING	32
15	Legendosh	31
16	Rainaldus	28
17	TechnoNinja64	25
17	kinas45y5	25
19	PortlyPete69	23
20	Xclax101	22
21	kekhon	20
22	Akoot_	17
22	lordpipe	17
24	Spacewardharpy7	16
25	SkateboardR6	15
26	CalebDHawk	12
26	561cool	12
28	KG1999	11
29	Euclidoris	9
29	thescout7	9
29	ApophisNova	9
29	MyNamaSheff	9
33	Minimize501	8
33	eviltunix	8
33	PigDab	8
33	pixelviolin	8
33	Smoke____	8
38	Mahoose	7
38	Freak_Genius	7
40	PhantomsGhost_	6
40	_Karmaa	6
40	Racengan	6
43	Hyp3rion_	5
44	ImpavidArcher	4
44	jacxhadow	4
46	beeperbeeper5	3
46	Blackberry1310	3
48	6king6colt6	2
48	T045RTY	2
48	LoboTheLobster	2
48	Comma__	2
48	mimbo1211	2
48	Jackattack53	2
48	RodSerlingCringe	2
48	EcksDofficial	2
56	Merv__	1
56	pr33tu	1
56	Austine6698	1
56	arcanemagic	1
56	MyNameIsJobo	1
56	Arceus1975	1
56	burbankbuilder28	1
56	pappaberg	1
56	Lord_Jord	1
56	Jij0	1
56	YungMaki	1
56	Segotep999	1
56	SSytex_X	1
56	Spenduh	1
56	SammiWolfGirl	1
56	MeetTheWollo	1
56	Zoeyfortnite	1
