rank	username	minecraft:dropped/minecraft:azalea_leaves
1	Jackattack53	1783
2	Hyp3rion_	1200
3	Kowcio_	526
4	Mattesco	337
5	eitanzaki	257
6	Steelynan	236
7	Krowuss	158
8	thewindmillman	132
9	SvenskaHugo	128
9	EcksD	128
11	luseis	112
11	Segotep999	112
13	LeonelSalamanca	105
14	Enderxz3	94
15	Fuad_R	77
16	Huwulling	68
17	AdmiralSmoke	65
18	MineMaster0012	64
18	MadmanRaven	64
20	PazinGaming	61
21	PigDab	60
22	500am	51
23	TheSecondLord	50
24	Lez_	47
25	Mr_Byzantine	45
26	Prismyst	42
27	Dakar_	37
28	Archsam	34
29	_Huge_Male_	28
30	Inchef	26
31	hanaryheatwave	24
32	iSammael	23
33	pintsizedrogue	16
34	Nicserso	15
35	SmashingPump	13
36	Soplight	12
37	noam464	8
37	Jimi7hits	8
39	mihimihimihi	6
40	Reneedium	5
40	Mr_Sun15	5
42	Frozil20	4
43	Dumkii	3
43	Alteriity	3
43	Manaateee	3
46	EMC_	2
46	_Razaria	2
46	Mahoose	2
46	MattieHD	2
50	beeperbeeper5	1
50	Smashic	1
50	StinkyDiplomat	1
