rank	username	minecraft:dropped/minecraft:end_crystal
1	xzvu	67
2	Tyrannosplart	39
3	xxPipperDipperxx	20
4	eitanzaki	19
5	NomadicRobin_	16
5	audiocracked	16
5	_i_ERROR_i_	16
8	uaoo	14
9	Yamdalorian	13
10	robertsnose	12
10	Mahoose	12
12	Inchef	11
13	pintsizedrogue	9
13	TheKingK_	9
15	rarrq	6
15	noam464	6
15	_flud	6
18	jnp_gaming	5
19	q_wq	4
19	_witch_craft_	4
19	oscminus	4
19	Wowful	4
19	NameGenerat0r	4
19	claivin	4
19	censorsheep	4
19	vandmanden	4
19	TechnoNinja64	4
28	beeperbeeper5	3
28	ConnorDanky_	3
30	PhantomsGhost_	2
30	Secret_Canary	2
30	Jackattack53	2
30	Hyp3rion_	2
30	Steelynan	2
35	ECstardust	1
35	ImpavidArcher	1
35	Lez_	1
35	m_be9	1
35	Fullut	1
35	Krowuss	1
35	AspenLightVT	1
35	cuddlyMonster	1
35	Kowcio_	1
35	Kyrum2169	1
35	Segotep999	1
35	Iamthejo	1
