rank	username	minecraft:dropped/minecraft:compass
1	MirielThePastor	307
2	beeperbeeper5	150
3	noam464	69
4	Hyp3rion_	68
4	EcksD	68
6	Chromary	64
7	12Magner05	63
8	Jackattack53	56
9	PigDab	42
10	Di_infiri	36
11	Deathkob	34
12	eitanzaki	33
12	rarrq	33
14	Tyrannosplart	32
15	RebelAndroid	16
16	_Virify_	14
17	Mahoose	12
17	Inbefour	12
17	Spacewardharpy7	12
20	TheSecondLord	11
21	thewindmillman	9
21	xolstoi	9
23	lordpipe	8
24	Blackberry1310	7
24	Fuad_R	7
24	Racengan	7
24	Strangemonkey71	7
24	FishisTTV	7
29	seanitoo	6
29	Werbe	6
29	YungMaki	6
32	_Dean_123	5
32	claivin	5
34	T045RTY	4
34	kekhon	4
34	SammiWolfGirl	4
37	wTXop	3
37	FreakGenius	3
37	RealGroot	3
40	pintsizedrogue	2
40	Groovy_MoonBird	2
40	Sleek_Storm_721	2
40	DinoDoctor_	2
40	H72l9w	2
40	Arceus1975	2
40	Rebytre	2
40	J4ko8_	2
40	TheShyPig	2
40	lillips	2
40	Smoke____	2
51	Mr_Byzantine	1
51	EMC_	1
51	neurotic_a	1
51	Incinere	1
51	CoffeeNoir	1
51	Lez_	1
51	joethahobo	1
51	MrKrabOnCoke	1
51	FirsTimeGamingTV	1
51	picardred	1
51	Rich_Kat	1
51	Moyd_	1
51	Ardennes	1
51	Guillemet	1
51	_Nuf	1
51	Scattman_	1
51	lorpus	1
51	himak1	1
51	XboxPanda	1
51	John6970	1
51	Winklepicker279	1
51	Voxin2K	1
51	F_Uhre	1
51	Kynigito	1
51	AlexxO_o	1
51	jewbacaman	1
51	MousePlays	1
51	zToasty69z	1
51	Rasmanden	1
51	TJawesome09	1
51	SaintJosie	1
51	binman420	1
51	NomadicRobin_	1
51	fkGrim	1
51	luseis	1
51	GoofyBread	1
51	censorsheep	1
51	Blaiku	1
51	Toriankel	1
51	Eraxa	1
51	Kowcio_	1
51	Kyrum2169	1
51	PlzNoBM	1
51	ProbsNotNova	1
51	y0shik	1
51	Kubeusz2010	1
51	Ezekson	1
51	MandenR1	1
51	00000000-0000-0000-0009-01f570995a20	1
51	00000000-0000-0000-0009-01f073f37a91	1
