rank	username	minecraft:dropped/minecraft:golden_axe
1	H0UNDFRMH3LL	19
2	guiltybastard	16
3	ECstardust	7
4	myaccountwasgone	6
5	thewindmillman	5
6	77Holly7	4
6	UncreativeArtist	4
6	noam464	4
6	Marbz_	4
10	NinjaKnifeKill	3
10	Yamdalorian	3
10	00000000-0000-0000-0009-01ff0c3e5e4f	3
13	Cowison	2
13	Crizma_	2
13	500am	2
13	Hyp3rion_	2
13	2extreeme	2
13	Mattesco	2
13	luseis	2
13	Toriankel	2
13	Synthoum	2
13	ayamefag	2
13	calamariclam_I	2
24	j5ylim	1
24	k_ce	1
24	CLG_Kata	1
24	Apollo_993	1
24	PazinGaming	1
24	Merv__	1
24	Gemstuff	1
24	diamondgolem35	1
24	Creativebuilder2	1
24	Mahoose	1
24	MSK__	1
24	Frxnkz	1
24	Crowman1	1
24	corvidpartyfor6	1
24	Secret_Canary	1
24	_Magdo_	1
24	ROY4LE	1
24	mimbo1211	1
24	TheDankPlatypus	1
24	M_Patata	1
24	PeteO1995	1
24	Winklepicker279	1
24	Jackattack53	1
24	groofles	1
24	sufjanlover	1
24	DarlaMeow	1
24	PixelatedBoss	1
24	Yoaty	1
24	pixelviolin	1
24	FelixPSY375	1
24	annebolyn	1
24	00000000-0000-0000-0009-01f53dff86f7	1
