rank	username	minecraft:dropped/minecraft:copper_block
1	Hyp3rion_	88763
2	thewindmillman	40844
3	Kowcio_	12206
4	hanaryheatwave	11949
5	PazinGaming	1796
6	TheBananaKat	1235
7	500am	896
8	pintsizedrogue	384
9	MattieHD	256
9	luseis	256
11	Yamdalorian	248
12	Flores991	208
13	YungMaki	192
14	SoosAmongus	125
15	TheSecondLord	112
16	Lez_	103
17	Alteriity	97
18	StarCookiees_	93
19	shrimp_flips	79
20	Groovy_MoonBird	67
21	Enderxz3	65
22	beeperbeeper5	64
22	Nicserso	64
24	pixelviolin	51
25	TheWildMateo	42
26	weabis	37
27	Mattesco	23
28	Juansinmiedo18	19
29	Mookle96	16
30	shadowthemonkey	14
31	Jimb0nat0r	12
32	Mahoose	6
32	SpacesickPrism	6
34	PlasticOtari	5
35	Blaiku	3
36	_Huge_Male_	2
37	Mr_Byzantine	1
37	Secret_Canary	1
37	EcksD	1
