rank	username	minecraft:dropped/minecraft:mangrove_propagule
1	Manaateee	224
2	AdmiralSmoke	99
3	Touched_Bread	64
4	pintsizedrogue	32
5	luseis	24
6	Soplight	16
7	Smashic	13
8	Lez_	11
9	Fuad_R	10
9	UCP_TheKingK	10
11	xxPipperDipperxx	9
11	Rebytre	9
11	Segotep999	9
14	EMC_	8
14	Mahoose	8
16	noam464	7
16	Hyp3rion_	7
18	pixelviolin	6
19	Jackattack53	5
20	Mr_Byzantine	4
20	beeperbeeper5	4
20	oscminus	4
20	MadmanRaven	4
24	Jimb0nat0r	3
25	j5ylim	1
25	olliebollie48	1
25	Mattesco	1
25	EveryonesUncle	1
25	YungMaki	1
25	SpacesickPrism	1
25	PlasticOtari	1
