rank	username	minecraft:dropped/minecraft:saddle
1	thewindmillman	1148
2	Racengan	421
3	noam464	328
4	beeperbeeper5	291
5	Bumpy419	216
6	WyngGoy	213
7	Bandito_Roamer	194
8	Sral7	175
9	Jackattack53	161
10	pixelviolin	122
11	cutelilreno	113
12	Kyrum2169	111
13	himak1	109
14	doublemaki	101
15	FirsTimeGamingTV	98
16	Fullut	71
17	LordSpeed37	66
18	Nyxiom_	62
19	kekhon	58
19	__tomato	58
21	Ecplosive	51
21	Soplight	51
23	HellsSponge	50
24	ediballbearings	46
25	eitanzaki	44
26	Mewar	41
27	Werbe	38
28	Segotep999	37
29	FreakGenius	31
29	_AAZAR	31
31	RebelAndroid	30
32	Rani_R	25
33	dimondking777	24
34	ConnorDanky_	19
34	jnp_gaming	19
34	TechnoNinja64	19
37	Mahoose	18
37	Historical_Sand	18
37	Hyp3rion_	18
37	oscminus	18
41	EMC_	17
41	ImDisconnected_	17
41	wwwwinnebagoooo	17
44	ImpavidArcher	16
45	pintsizedrogue	15
45	Myszoaz	15
45	Kkanot	15
45	Blu3beast	15
45	EcksD	15
50	selectrix	14
50	Blaiku	14
52	Lez_	13
53	k_ce	12
53	shadowthemonkey	12
53	Di_infiri	12
53	Yamdalorian	12
57	Shortest_	11
57	emreknugrlu	11
57	TheBananaKat	11
60	censorsheep	10
61	MattieHD	9
61	claivin	9
61	SvenskaHugo	9
61	Nicserso	9
65	Mr_Byzantine	8
65	seramalen	8
65	Buuck_	8
65	ayamefag	8
65	Kowcio_	8
65	xzvu	8
71	TheSecondLord	7
71	Akoot_	7
73	Apollo_993	6
73	TrNrGhost	6
73	ECstardust	6
73	thescout7	6
73	hanaryheatwave	6
73	ApophisNova	6
73	Manaateee	6
73	Ezekson	6
73	MyNamaSheff	6
73	Spaghettatron	6
83	Groovy_MoonBird	5
83	robertsnose	5
83	T045RTY	5
83	rarrq	5
83	Blackberry1310	5
83	jacxhadow	5
83	Secret_Canary	5
83	Paintz	5
83	craaaash	5
83	Arceus1975	5
83	Tyrannosplart	5
83	miramyu	5
83	Enderxz3	5
83	Powowowow	5
83	es0th	5
98	NotMyLucKMC	4
98	SaucyDark	4
98	joethahobo	4
98	Comma__	4
98	Studio4x32	4
98	CollinMH06	4
98	fxiryglitch	4
98	Luminad3	4
98	NameGenerat0r	4
98	Eraxa	4
98	_Mythic____	4
98	JayToe	4
110	H0UNDFRMH3LL	3
110	Caribouse	3
110	MyMawgDonaldsGon	3
110	hm947	3
110	Kubelz	3
110	mimbo1211	3
110	Chromary	3
110	Felenov	3
110	F_Uhre	3
110	jewbacaman	3
110	aec9	3
110	Fuhrer_Teemo	3
110	Dakar_	3
110	1442	3
110	_Karmaa	3
110	Xclax101	3
110	Yahir091	3
110	ElectricDragon81	3
110	IlkeCookes_	3
110	SammiWolfGirl	3
110	PortlyPete69	3
110	_i_ERROR_i_	3
110	TheOuterCore	3
110	Jimb0nat0r	3
110	TheWickedBird	3
135	Mr_Worthless	2
135	_Virify_	2
135	CLG_Kata	2
135	fanofbands101	2
135	squigglybones	2
135	Merv__	2
135	shineh10	2
135	Frozil20	2
135	6king6colt6	2
135	diamondgolem35	2
135	jimintyy	2
135	Alteriity	2
135	Huwulling	2
135	QuiCreans	2
135	Vizzoid	2
135	Stynxy	2
135	m_be9	2
135	catandmoose	2
135	GingerNeutron	2
135	Guillemet	2
135	eviltunix	2
135	gcaisawesome	2
135	TheDankPlatypus	2
135	M_Patata	2
135	MyNameIsJobo	2
135	Zythose	2
135	PigDab	2
135	Rasmanden	2
135	NomadicRobin_	2
135	shrimp_flips	2
135	MAns_44	2
135	blackeemperor	2
135	_flud	2
135	RedcatVII	2
135	Groundler	2
135	TheRoboSock	2
135	Spacewardharpy7	2
135	MovingFish7	2
135	MasterNueve	2
135	LetsDoItLive	2
135	CacheOut	2
135	IdeallyGrey	2
135	Celeste_121	2
135	robonya_	2
135	Eczbek	2
135	vandmanden	2
135	PlasticOtari	2
182	aangwie	1
182	peachfuzz1267	1
182	PhantomsGhost_	1
182	EdaterPure	1
182	dabloons	1
182	PazinGaming	1
182	teslawolf38	1
182	TildaAndrea	1
182	KingFaenor	1
182	lcn	1
182	Iagoku	1
182	Ryan_GEMS	1
182	Bad_At_Names_Guy	1
182	RatatJuice	1
182	_Razaria	1
182	Wooptey	1
182	livingdaydreams	1
182	abdomera	1
182	SyntheticSurgeon	1
182	lorywithay	1
182	ZaneABrain	1
182	SOA1RR	1
182	NinjaKnifeKill	1
182	Barjas	1
182	stevewithclout	1
182	MrKrabOnCoke	1
182	Sleepy_Time_	1
182	elmer1234	1
182	teqilas	1
182	chlorinex	1
182	royal_2	1
182	Zxhir	1
182	KingMinsky	1
182	Frxnkz	1
182	Saucepeh	1
182	Auseawesome	1
182	ratglock	1
182	CliffEmAll	1
182	I_Moose	1
182	hydrothebot	1
182	BobDeBouwer1337	1
182	MinttyFressh	1
182	SteveCraftBlocks	1
182	500am	1
182	Scattman_	1
182	redikul	1
182	niinii	1
182	knarian	1
182	excelsionprime	1
182	Tmb1	1
182	Nach0Bear	1
182	fade_emerge78823	1
182	_Magdo_	1
182	emrekn	1
182	Inchef	1
182	intropass	1
182	Juansinmiedo18	1
182	xxPipperDipperxx	1
182	Covalents	1
182	eiC_	1
182	John6970	1
182	gloominq	1
182	Marbz_	1
182	yheece	1
182	Rumpletaezer	1
182	Nope______	1
182	Snowflowe	1
182	wTXop	1
182	byFlixxx	1
182	SirPiccardo	1
182	Strats__	1
182	lahavmor	1
182	Yaspresents	1
182	OreTheBear	1
182	DAD_1996	1
182	Rebytre	1
182	WhosJPG	1
182	Inconvenionce	1
182	The11thDoctor	1
182	Onennon	1
182	Mattesco	1
182	Moofyman	1
182	goldyx	1
182	AlexxO_o	1
182	Project_MKBRD	1
182	TheShyPig	1
182	CarryLine	1
182	zToasty69z	1
182	HolyVenom	1
182	KliBeast21	1
182	MrQuanQuan	1
182	fw3xy	1
182	AlphaWolfPlaysMC	1
182	Dabatha	1
182	yulgur1	1
182	Inbefour	1
182	kiluaemc	1
182	EveryonesUncle	1
182	luseis	1
182	abig4il	1
182	jambvds	1
182	DarlaMeow	1
182	Fuad_R	1
182	El_Jalapeno	1
182	Cyntrical	1
182	MightyWertu	1
182	BumbleBeever	1
182	Typadopoulos	1
182	LazySupport00	1
182	mihimihimihi	1
182	lordpipe	1
182	sp00ky_ghost977	1
182	Razzgriz	1
182	carbo_bro	1
182	Moss_2006	1
182	TheKingK_	1
182	djancak	1
182	starbits140	1
182	Kekoo	1
