rank	username	minecraft:dropped/minecraft:heavy_weighted_pressure_plate
1	Hyp3rion_	3093
2	noam464	1184
3	thewindmillman	811
4	Jackattack53	197
5	AdmiralSmoke	38
6	beeperbeeper5	24
7	Lez_	19
8	lillips	11
9	Mahoose	10
10	thescout7	9
10	Werbe	9
12	ConnorDanky_	8
13	Nach0Bear	7
14	fluddd	6
14	Groundler	6
16	Onennon	5
16	KingMatthew506	5
18	benediktine1	4
18	PigDab	4
18	obzii	4
21	Malorn_Aetherius	3
21	kekhon	3
21	gcaisawesome	3
21	Mattesco	3
21	Blaiku	3
21	mihimihimihi	3
27	Bandito_Roamer	2
27	hm947	2
27	TheSecondLord	2
27	_Nuf	2
27	Fullut	2
27	Di_infiri	2
27	domagawha	2
27	Akoot_	2
27	fkGrim	2
27	Racengan	2
27	Hermanni__	2
27	PlasticOtari	2
39	Frozil20	1
39	ImpavidArcher	1
39	eitanzaki	1
39	joethahobo	1
39	Austine6698	1
39	500am	1
39	Awyrlas	1
39	arcanemagic	1
39	yheece	1
39	oscminus	1
39	epiksk8erduck	1
39	Leyna3	1
39	HellsSponge	1
39	Quincannon	1
39	claivin	1
39	SkateboardR6	1
39	Spacewardharpy7	1
39	lordpipe	1
39	WyngGoy	1
39	_Mythic____	1
39	Kowcio_	1
39	Kyrum2169	1
39	djancak	1
39	PlzNoBM	1
39	EcksD	1
39	AltnumberF4	1
