rank	username	minecraft:dropped/minecraft:light_gray_bed
1	eitanzaki	13
2	Leyna3	6
3	JayToe	5
4	Blackberry1310	3
5	Bandito_Roamer	2
5	TheSecondLord	2
5	Xalithia	2
5	M_Patata	2
5	Hisiste	2
5	sebastiensaborio	2
11	RebelAndroid	1
11	joethahobo	1
11	beeperbeeper5	1
11	_Dean_123	1
11	500am	1
11	2Stout	1
11	BlossomOwO	1
11	NameGenerat0r	1
11	Shogunite	1
11	Frozil12	1
11	LordSpeed37	1
11	jcool7	1
