rank	username	minecraft:dropped/minecraft:birch_fence
1	lordpipe	543
2	Uzbeki_John	448
3	Smoke____	233
4	Blaiku	205
5	_Cloverbelle_	134
6	pintsizedrogue	119
7	kekhon	110
7	noam464	110
9	stahouo	84
10	djancak	83
11	eitanzaki	77
12	Freak_Genius	64
13	Di_infiri	60
14	Xclax101	34
15	Xalithia	32
16	Dedalus36	31
17	Blackberry1310	29
18	chipklip	27
19	EcksD	25
20	beeperbeeper5	24
21	GingerNeutron	21
22	KarlKaek	18
22	fallingemma	18
22	Onennon	18
25	fluddd	16
25	LeeMcGee30	16
27	CoffeeNoir	15
28	Tommhh	14
28	Nargotah	14
28	TechnoNinja64	14
31	IAmTheWalrus910	12
32	Boboczus	11
32	ProfessorBee	11
34	Sabby65	10
34	Ravenbie	10
34	thewindmillman	10
37	The11thDoctor	9
37	MousePlays	9
37	Blu3beast	9
40	I_Am_Mushkin	7
40	NotTrixi	7
40	oxfordschool	7
43	Krasnal1337	6
43	Wooptey	6
43	joethahobo	6
43	mwrty	6
43	PeteO1995	6
43	NameGenerat0r	6
49	Stiar	4
49	Norrhede	4
49	SuperPooch06	4
49	Werbe	4
49	lizardfightclub	4
49	lillips	4
49	AssEatrAndLicker	4
49	sp00ky_ghost977	4
49	anbbang	4
49	CrazyPotater	4
59	RebelAndroid	3
59	livingdaydreams	3
59	Mahoose	3
59	TheSecondLord	3
59	12Magner05	3
59	Inchef	3
59	Inbefour	3
59	_Karmaa	3
59	Spacewardharpy7	3
59	YungMaki	3
59	Nicserso	3
59	UrbanPlanner1978	3
71	Groovy_MoonBird	2
71	thescout7	2
71	surfinggiraffejp	2
71	XboxPanda	2
71	loveseeker	2
71	TheShyPig	2
71	Pootis11	2
71	Racengan	2
71	monky_irl	2
71	stavgod	2
71	Shin69	2
71	a_smol_bean	2
71	PortlyPete69	2
71	gaming4Naming	2
71	cichy096	2
71	EcksDofficial	2
87	MattieHD	1
87	pr33tu	1
87	SteveCraftBlocks	1
87	Awyrlas	1
87	Zythose	1
87	fred870d	1
87	Rasmanden	1
87	Maenara	1
87	Akoot_	1
87	stuy9	1
87	The_Skramz	1
87	SSytex_X	1
87	SammiWolfGirl	1
87	Hermanni__	1
87	AltnumberF4	1
87	Legendosh	1
87	Powowowow	1
