rank	username	minecraft:dropped/minecraft:gray_stained_glass
1	Hyp3rion_	78016
2	thewindmillman	2767
3	noam464	299
4	pixelviolin	271
5	jnp_gaming	242
6	eitanzaki	199
7	oscminus	128
7	claivin	128
9	Blaiku	118
10	Di_infiri	93
11	_Virify_	66
12	ECstardust	64
12	lillips	64
12	LexMakesHistory	64
15	Mahoose	63
16	AdmiralSmoke	61
17	Merv__	56
18	Mattesco	45
19	500am	39
20	Akoot_	32
20	skrongus	32
22	EveryonesUncle	27
23	Arceus1975	22
24	ImpavidArcher	16
24	M_Patata	16
24	MasterNueve	16
27	NomadicRobin_	14
28	PlasticOtari	11
29	Secret_Canary	10
30	joethahobo	9
30	Soplight	9
32	PigDab	7
32	Spacewardharpy7	7
32	non089	7
35	EMC_	6
35	masskedman	6
37	CLG_Kata	5
37	Inchef	5
37	Rebytre	5
40	beeperbeeper5	4
40	CliffEmAll	4
40	ConnorDanky_	4
40	AltnumberF4	4
44	Blackberry1310	2
44	Skylord_Luke	2
44	MonitorLizards	2
44	Eraxa	2
48	pintsizedrogue	1
48	MixerDixer	1
48	TheSecondLord	1
48	BobDeBouwer1337	1
48	kekhon	1
48	mwrty	1
48	JETrotter	1
48	Groundler	1
48	mihimihimihi	1
