rank	username	minecraft:dropped/minecraft:golden_shovel
1	FreakGenius	4
2	_Razaria	3
2	kekhon	3
2	Shogunite	3
5	mymayowasgone	2
5	UncreativeArtist	2
5	2Stout	2
5	Druid95	2
5	IdeallyGrey	2
5	jnp_gaming	2
11	CLG_Kata	1
11	EdaterPure	1
11	ImpavidArcher	1
11	livingdaydreams	1
11	royal_2	1
11	Miroryk	1
11	ROY4LE	1
11	xxPipperDipperxx	1
11	RIPB0ZO	1
11	mimbo1211	1
11	Marbz_	1
11	thewindmillman	1
11	Silvo614	1
11	Qorbyn	1
11	Vol_Rod33	1
11	mihimihimihi	1
11	_Mythic____	1
11	TheKingK_	1
11	Luigipunch989	1
11	kaiwill0w	1
11	Iamthejo	1
11	11Brewer	1
11	Enderxz3	1
