rank	username	minecraft:dropped/minecraft:orange_glazed_terracotta
1	eitanzaki	463
2	noam464	183
3	Blaiku	139
4	Hyp3rion_	107
5	emreknugrlu	97
6	joethahobo	76
7	lordpipe	42
8	Krowuss	11
9	doublemaki	10
10	Jackattack53	8
10	AnnieBathory	8
10	Steelynan	8
13	Mahoose	7
14	Soplight	5
14	Enderxz3	5
16	j5ylim	3
16	DairyNickel756	3
18	royal_2	2
18	SteveCraftBlocks	2
18	ROY4LE	2
18	NameGenerat0r	2
18	Yamdalorian	2
23	Lez_	1
23	TheDankPlatypus	1
23	Di_infiri	1
23	fxiryglitch	1
23	00000000-0000-0000-0009-01ffc2d8cf2a	1
