rank	username	minecraft:dropped/minecraft:azure_bluet
1	noam464	14823
2	eitanzaki	729
3	EMC_	174
4	thescout7	110
5	HellsSponge	99
6	ConnorDanky_	93
7	Kakolbus	89
8	Skylord_Luke	87
9	beeperbeeper5	85
10	Lez_	79
11	Inbefour	77
12	kekhon	67
13	Blaiku	64
14	FreakGenius	56
15	joethahobo	54
16	MousePlays	53
16	YungMaki	53
18	00000000-0000-0000-0009-01ff0c3e5e4f	48
19	Uzbeki_John	40
20	NatalieTW	38
20	set67	38
20	Kowcio_	38
23	Notta	36
24	Frozil20	32
24	_Boipl_	32
26	Sral7	31
27	BlancoFlaco	29
28	_Huge_Male_	27
29	Xclax101	26
30	SaintJosie	24
30	Spacewardharpy7	24
32	livingdaydreams	23
32	Akoot_	23
32	jnp_gaming	23
35	thewindmillman	22
35	wilgot_	22
37	Onennon	21
37	lordpipe	21
39	Blu3beast	20
40	Serval2000	19
41	Arceus1975	18
41	Dakar_	18
43	TheDiamondCG	17
43	PeteO1995	17
43	SSytex_X	17
43	PortlyPete69	17
47	Ssor69	16
47	the_russell1611	16
49	Jovaphobic	15
49	Di_infiri	15
51	SyntheticSurgeon	14
51	Blackberry1310	14
51	Frxnkz	14
51	El_Jalapeno	14
51	Racengan	14
56	Chromary	13
56	wobn	13
58	shadowthemonkey	12
58	luseis	12
60	Groovy_MoonBird	11
60	RebelAndroid	11
60	TheSecondLord	11
60	Jackattack53	11
60	ApophisNova	11
60	Werbe	11
60	NomadicRobin_	11
60	KingMatthew506	11
60	MyNamaSheff	11
69	Lord_Zacler	10
69	Nicserso	10
71	cheerytomato	9
71	Smashic	9
71	KeruNatsema	9
71	jcool7	9
71	Legendosh	9
76	Franco093	8
76	picardred	8
76	12Magner05	8
76	Fullut	8
76	Kondzik2008	8
76	PigDab	8
76	groofles	8
76	LeonelSalamanca	8
76	_Karmaa	8
85	oreee	7
85	elmer1234	7
85	NieToksikpl	7
85	excelsionprime	7
85	emrekn	7
85	longappendage	7
85	TheShyPig	7
85	NameGenerat0r	7
85	TechnoNinja64	7
94	CueMix	6
94	ECstardust	6
94	Wooptey	6
94	T045RTY	6
94	Huwulling	6
94	Touched_Bread	6
94	Tyrannosplart	6
94	MAns_44	6
94	LordSpeed37	6
94	UCP_TheKingK	6
94	annoyingenderman	6
94	CalebDHawk	6
94	Winston_Ingram	6
94	EcksD	6
94	vandmanden	6
109	Louiis123	5
