rank	username	minecraft:dropped/minecraft:polished_tuff
1	Secret_Canary	71
2	thewindmillman	38
3	Spaghettatron	16
4	MyMawgDonaldsGon	7
4	oscminus	7
6	InchoateOyster	6
7	net_flex	5
8	CLG_Kata	4
9	TheKingK_	3
10	beeperbeeper5	1
10	lpinfinity	1
10	Buuck_	1
