rank	username	minecraft:dropped/minecraft:blackstone_wall
1	hanaryheatwave	1728
2	500am	705
3	thewindmillman	290
4	U_Mos_	158
5	eitanzaki	114
6	noam464	74
7	TheSecondLord	64
8	weabis	35
9	Manaateee	34
10	EveryonesUncle	16
11	Shogunite	13
12	k_ce	12
13	beeperbeeper5	9
14	joethahobo	6
15	rarrq	5
16	Xalithia	4
16	TheWildMateo	4
16	Werbe	4
16	ogoa	4
20	HUNTERmaun	3
20	PlasticOtari	3
20	LuvLuvLove	3
20	Yamdalorian	3
24	NumbaOneMunch	2
24	Spenduh	2
24	Nicserso	2
27	EMC_	1
27	steppe_nomad	1
27	skroobiez	1
27	Enderxz3	1
27	Legendosh	1
