rank	username	minecraft:dropped/minecraft:green_dye
1	thewindmillman	595589
2	Hyp3rion_	27703
3	Franco093	18878
4	Jackattack53	9089
5	noam464	6310
6	hanaryheatwave	5400
7	Kyrum2169	4094
8	Fullut	2537
9	slkiey	2352
10	Ryan_GEMS	2153
11	Quaintster	2129
12	Eraxa	2045
13	Covalents	1961
14	Skylord_Luke	1930
15	QueenShuvi	1853
16	Powowowow	1681
17	heckface	1632
18	EMC_	1266
19	Rumpletaezer	897
20	vandmanden	700
21	Mahoose	628
22	Akoot_	615
23	UrbanPlanningEx	579
24	emreknugrlu	568
25	thescout7	514
26	TechnoNinja64	445
27	ConnorDanky_	440
28	Groovy_MoonBird	423
29	PhantomsGhost_	401
29	Blaiku	401
31	stellarjay	387
32	surfinggiraffejp	384
33	MrShojo	320
34	Lez_	309
35	Snowflowe	281
36	hollowww	256
37	lordpipe	252
38	eitanzaki	248
39	TheSecondLord	236
40	joethahobo	192
40	ApophisNova	192
40	Blu3beast	192
40	MyNamaSheff	192
44	h2p_emrld	190
45	EcksD	153
46	HellsSponge	147
47	FreakGenius	138
48	Hpdinosaur	128
48	Gus2005	128
48	Soplight	128
51	PortlyPete69	124
52	XboxPanda	121
53	AspenLightVT	120
54	Kowcio_	97
55	beeperbeeper5	95
56	Di_infiri	72
56	Ezekson	72
58	BPTY4618	71
58	ECstardust	71
60	ZaneABrain	66
61	eviltunix	65
61	NameGenerat0r	65
61	_KuruKuru	65
64	TheShyPig	64
64	AlphaWolfPlaysMC	64
64	yulgur1	64
64	WyngGoy	64
64	Enderxz3	64
64	PlasticOtari	64
70	annebolyn	63
71	deleteduser3c11b	61
72	StormPool	58
73	Huwulling	49
74	Yamdalorian	44
75	YungMaki	41
76	Mattesco	36
76	THEKINGLyric10	36
78	jimintyy	35
78	Chromary	35
80	Xclax101	33
81	pintsizedrogue	32
82	jnp_gaming	31
83	CLG_Kata	29
84	Touched_Bread	26
85	500am	25
85	Luminad3	25
87	k_ce	23
88	lorywithay	20
88	marumochis	20
90	mwrty	19
91	wezzzi	18
92	Zoeyfortnite	16
93	LAVA129	14
94	CarltheCuck	12
95	Pumpkin_P_Patch	10
96	hm947	7
96	MovingFish7	7
96	Ze_BaronKrigler	7
96	Shin69	7
96	ReyTheLegend	7
101	InfernalMound	6
101	crashomon	6
101	Sorry_Arey	6
101	the__Reaper4999	6
105	TrNrGhost	5
105	Wooptey	5
105	Sral7	5
108	T045RTY	4
108	kekhon	4
108	Shortest_Man	4
108	starbits140	4
108	SammiWolfGirl	4
113	Frozil20	3
113	_Nuf	3
113	_Dean_123	3
113	TheDankPlatypus	3
113	Kokeech	3
113	txxskx	3
113	Spacewardharpy7	3
113	Segotep999	3
113	xzvu	3
122	_Huge_Male_	2
122	jessemgaming	2
122	MinerDec	2
122	little_dUki	2
126	_Virify_	1
126	PazinGaming	1
126	teslawolf38	1
126	6king6colt6	1
126	ImpavidArcher	1
126	SaucyDark	1
126	skroobiez	1
126	Euclidoris	1
126	r123moore	1
126	V2Loon	1
126	PigDab	1
126	Kim_Jong_eel	1
126	EdGalbraith	1
126	Inbefour	1
126	avalan64	1
126	DarlaMeow	1
126	iSammael	1
126	Optiprimus	1
126	MilleGrug	1
126	elliebelle107	1
126	Quotary	1
126	smogfrog	1
126	KamFurnace	1
