rank	username	minecraft:dropped/minecraft:black_carpet
1	thewindmillman	63673
2	EcksD	16741
3	noam464	4094
4	jnp_gaming	2435
5	kekhon	1904
6	eitanzaki	1808
7	mwrty	768
8	Di_infiri	647
9	beeperbeeper5	384
10	Blaiku	383
11	Lord_Jord	333
12	bloodbiter	328
13	heckface	264
14	Hermanni__	234
15	Quaintster	231
16	CattSoup	213
17	GlitchyPlate810	199
18	500am	154
18	lillips	154
20	YungMaki	152
21	Kubeusz2010	132
22	weabis	129
23	Mahoose	105
24	Blu3beast	79
25	Huwulling	65
26	Kowcio_	64
27	TheSecondLord	51
28	Smashic	44
29	Smoke____	38
30	ConnorDanky_	34
31	SteveCraftBlocks	32
32	Rumpletaezer	29
33	FreakGenius	28
34	Crowman1	27
35	Spacewardharpy7	23
36	Frozil20	22
37	Akoot_	20
38	TechnoNinja64	18
39	cichy096	14
40	Blackberry1310	13
41	Lez_	12
41	Meatlaugh	12
43	burbankbuilder28	11
43	Nicky19	11
45	Chromary	10
45	PigDab	10
45	luseis	10
48	gcaisawesome	9
49	Ssor69	8
49	Werbe	8
49	Wowful	8
49	HellsSponge	8
53	joethahobo	6
53	SquadMonster	6
53	Racengan	6
53	Njensen7	6
53	alderban107	6
58	Hyp3rion_	5
58	Tyrannosplart	5
60	Arceus1975	4
60	NameGenerat0r	4
62	XboxPanda	3
62	gabriels543	3
62	WET_WET_WET	3
62	CuzIm2Kev	3
62	Ze_BaronKrigler	3
62	djancak	3
68	dabloons	2
68	livingdaydreams	2
68	Natty	2
68	_Nuf	2
68	Hoshi	2
68	gustarlep	2
68	lordpipe	2
68	stavgod	2
68	PlasticOtari	2
77	Foof13	1
77	Creativebuilder2	1
77	rarrq	1
77	intropass	1
77	Moofyman	1
77	TheShyPig	1
77	420BreadLizard	1
77	RoofTyler	1
77	DarlaMeow	1
77	Hisiste	1
77	Eraxa	1
77	RealGroot	1
77	Soplight	1
