rank	username	minecraft:dropped/minecraft:magenta_glazed_terracotta
1	EMC_	517
2	lordpipe	128
3	thewindmillman	73
4	Werbe	12
5	ImpavidArcher	11
6	joethahobo	9
7	noam464	5
7	Blaiku	5
9	oxfordschool	4
10	bbquakes	1
10	thescout7	1
10	ItzWqlfy	1
