rank	username	minecraft:dropped/minecraft:orange_wool
1	thewindmillman	270565
2	noam464	95290
3	EcksD	16389
4	HellsSponge	6500
5	joethahobo	6401
6	beeperbeeper5	3037
7	Hermanni__	1852
8	eitanzaki	1523
9	oxfordschool	729
10	set67	640
11	Blaiku	556
12	Werbe	480
13	Smoke____	396
14	Snowflowe	256
14	Fuad_R	256
16	SkateboardR6	211
17	PhantomsGhost_	192
18	lordpipe	128
19	fr0stss	122
20	Spacewardharpy7	114
21	Freak_Genius	108
22	Blackberry1310	98
23	Legendosh	87
24	PigDab	76
25	pintsizedrogue	74
26	TheSecondLord	73
27	mwrty	64
27	MeanTugger	64
27	Jiminie	64
27	Shogunite	64
27	Blu3beast	64
27	TechnoNinja64	64
27	EcksDofficial	64
34	Lez_	60
35	Di_infiri	59
36	Karetoko	42
36	NameGenerat0r	42
38	Cowison	38
39	jspwn	36
39	potato_phone	36
41	CoffeeNoir	35
42	Smashic	32
43	lillips	30
44	Hyp3rion_	26
45	Nycteus_	23
46	Rumpletaezer	18
47	YungMaki	13
48	SquadMonster	12
49	teslawolf38	8
49	rarrq	8
49	monky_irl	8
52	Zythose	7
52	EveryonesUncle	7
52	MyNameIsDakar	7
55	Kowcio_	6
56	gabriels543	5
57	Frozil20	4
57	heckface	4
57	Onennon	4
60	eclipseboi	3
60	Zoeyfortnite	3
62	SaucyDark	2
62	RebelAndroid	2
62	Mahoose	2
62	bloodbiter	2
62	Fullut	2
62	StinkyDiplomat	2
62	Xclax101	2
62	PortlyPete69	2
62	Dogcorn69420	2
62	FishisTTV	2
72	Merv__	1
72	Tommhh	1
72	ImpavidArcher	1
72	ShedJr_	1
72	Swexti	1
72	NieToksikpl	1
72	BobDeBouwer1337	1
72	TheShyPig	1
72	Deerfoot	1
72	Soplight	1
72	GlitchyPlate810	1
72	Quotary	1
