rank	username	minecraft:dropped/minecraft:shulker_box
1	thewindmillman	29935
2	noam464	23455
3	EcksD	5410
4	Spacewardharpy7	2675
5	PigDab	834
6	eitanzaki	378
7	Blaiku	298
8	Hyp3rion_	278
9	Di_infiri	206
10	joethahobo	189
11	Racengan	164
12	gcaisawesome	126
13	Blu3beast	106
14	stahouo	102
15	thescout7	97
16	HellsSponge	92
17	Frozil12	91
18	YungMaki	86
19	Freak_Genius	83
20	kekhon	80
21	k1ngGilgamesh	77
22	Smoke____	74
23	Zythose	68
24	NomadicRobin_	64
25	SvenskaHugo	63
26	lillips	46
26	Hisiste	46
28	lordpipe	45
29	Shiirazuku	44
30	Werbe	42
31	jnp_gaming	40
32	yulgur1	39
33	Spenduh	38
33	oxfordschool	38
35	NameGenerat0r	35
36	6king6colt6	34
36	Mahoose	34
36	Ezekson	34
39	Blackberry1310	32
39	MattieHD	32
39	Nagasaki_Riku	32
42	TheSecondLord	31
42	MakeHistory157	31
44	Dogcorn69420	30
45	TechnoNinja64	29
46	Auseawesome	28
46	Akoot_	28
46	Shogunite	28
46	Enderslayerxz3	28
50	beeperbeeper5	27
50	mwrty	27
52	teslawolf38	26
53	EcksDofficial	24
54	Awyrlas	23
55	fred870d	22
55	Lord_Jord	22
57	T045RTY	21
57	xPixelRainx	21
57	jushykins	21
57	Jackattack53	21
57	Lutres_Torane	21
62	BronkerBrum	20
62	sebastiensaborio	20
62	kinas45y5	20
65	M_Patata	19
65	gabriels543	19
65	Deodorante	19
65	PlasticOtari	19
69	PhantomsGhost_	18
69	KG1999	18
69	lcvezra	18
72	MinttyFressh	17
72	MasterNueve	17
72	MilleGrug	17
75	rarrq	16
75	Comma__	16
75	ROY4LE	16
75	XboxPanda	16
75	Eraxa	16
80	Groovy_MoonBird	15
80	Historical_Sand	15
80	surfinggiraffejp	15
80	claivin	15
84	ApophisNova	14
84	chipklip	14
84	MyNamaSheff	14
87	diamondgolem35	13
87	set67	13
87	Wowful	13
87	Legendosh	13
91	Iagoku	12
91	error10101	12
91	CyrusIsTired	12
91	Bumpy419	12
95	_Dean_123	11
95	NimBit	11
95	fr_ser	11
95	MightyWertu	11
95	sadvavilloso	11
100	AuroraValkyrie	10
100	ImpavidArcher	10
100	Fullut	10
100	egglapras	10
100	Inchef	10
100	Xalithia	10
100	Marbz_	10
100	audiocracked	10
100	SkateboardR6	10
100	SammiWolfGirl	10
100	obzii	10
111	Bandito_Roamer	9
111	Chickenchaser2	9
111	12Magner05	9
111	SellyZ	9
111	WET_WET_WET	9
111	Snowflowe	9
111	wezzzi	9
111	Inbefour	9
111	MustaLoordi	9
111	Groundler	9
111	Strangemonkey71	9
111	pixelviolin	9
111	Kowcio_	9
111	FishisTTV	9
125	EveryonesUncle	8
125	rezi	8
125	ProbsNotNova	8
125	Hermanni__	8
125	Kubeusz2010	8
125	Skippeh	8
131	awesomeoneme	7
131	Malorn_Aetherius	7
131	G1ldor	7
131	SpookyDraggin	7
131	Syropatathe	7
131	Warlord324	7
131	Zoeyfortnite	7
138	Incinere	6
138	Swexti	6
138	himak1	6
138	mariominejedi	6
138	Leyna3	6
138	sxc_	6
138	jcool7	6
138	LeeMcGee30	6
138	Quotary	6
147	EMC_	5
147	bigstankyy	5
147	boog4loo	5
147	Mewar	5
147	Tjhodskins19	5
147	SuperPooch06	5
147	Chromary	5
147	TheShyPig	5
147	HolyVenom	5
147	ebanana	5
147	__Auspicious	5
147	WyngGoy	5
147	stavgod	5
147	IdeallyGrey	5
147	__tomato	5
147	Soplight	5
147	KingMatthew506	5
147	laron58	5
147	Nicserso	5
166	TheMilkerOfCats	4
166	Dedalus36	4
166	Gundam_Steven	4
166	ShedJr_	4
166	Euclidoris	4
166	pr33tu	4
166	SteveCraftBlocks	4
166	500am	4
166	NotKaden_	4
166	GreedyFern8581	4
166	HyperCave	4
166	Rasmanden	4
166	Maenara	4
166	fluddd	4
166	ripddann	4
166	GlitchyPlate810	4
166	Sheldor097	4
166	OfficerAnvil	4
166	Powowowow	4
185	littlesophiagirl	3
185	Merv__	3
185	SaucyDark	3
185	hm947	3
185	TooManyDuck	3
185	KokoILY	3
185	NinjaKnifeKill	3
185	QuakerOatsGod	3
185	bloodbiter	3
185	Rich_Kat	3
185	r123moore	3
185	Paintz	3
185	FishyBoy3811	3
185	_Bguette_	3
185	Cyntrical	3
185	BumbleBeever	3
185	CheifJumbo	3
185	Cocoamallows	3
185	stellarjay	3
185	fffMike	3
185	Winston_Ingram	3
206	_NieToksikpl_	2
206	I_Am_Mushkin	2
206	peach0s	2
206	FirsTimeGamingTV	2
206	jiggywraps	2
206	YungJakobo	2
206	ThePoliteG	2
206	TheDiamondCG	2
206	emrekn	2
206	xxPipperDipperxx	2
206	Kubelz	2
206	arcanemagic	2
206	Ecplosive	2
206	CollinMH06	2
206	ninjacat027	2
206	loveseeker	2
206	Rumpletaezer	2
206	Arceus1975	2
206	burbankbuilder28	2
206	DaviusMaximoose	2
206	Hoid_the_Roamer	2
206	Skylord_Luke	2
206	Bak3dPotater	2
206	The11thDoctor	2
206	KeruNatsema	2
206	thgrocks	2
206	Nicky19	2
206	TheSeismicDuck	2
206	Travka100	2
206	Xclax101	2
206	the__Reaper4999	2
206	Barlycorn	2
206	MovingFish7	2
206	TheTommyGun63	2
206	Luigipunch989	2
206	PortlyPete69	2
206	PlzNoBM	2
206	alderban107	2
206	Aryamanee	2
206	Miko_Fullbuster	2
206	little_dUki	2
206	Sral7	2
248	RosaDoesMC	1
248	pintsizedrogue	1
248	catiefsm	1
248	_Virify_	1
248	elicobnoah	1
248	JohnnyFyes	1
248	ProbablyNick	1
248	jspwn	1
248	q_wq	1
248	KarlKaek	1
248	RowanYourBoat111	1
248	rachcl	1
248	Sabby65	1
248	Hpdinosaur	1
248	livingdaydreams	1
248	Batman922	1
248	ZaneABrain	1
248	CoffeeNoir	1
248	Simon_Lowell	1
248	SpaceGrenadier	1
248	H72l9w	1
248	Whiterooster001	1
248	Prodiginus	1
248	Gooberkid223	1
248	Cryptacity	1
248	Nicky_H225	1
248	Boboczus	1
248	ProfessorBee	1
248	_Nuf	1
248	Z3braYTIL	1
248	Kamflame10	1
248	beeleg	1
248	NotTrixi	1
248	orxngejuice	1
248	Septemb3r	1
248	2Stout	1
248	zylanzagreat	1
248	moist_jellyfish	1
248	Winklepicker279	1
248	08061945	1
248	GOOBERGABE04	1
248	LilyNova	1
248	Rebytre	1
248	Hiryu27	1
248	HAIRYCLOUD626	1
248	Afinnity	1
248	RobotMinion101	1
248	CruncyIsTaken	1
248	Onennon	1
248	Truckoss	1
248	Vetral1	1
