rank	username	minecraft:dropped/minecraft:quartz
1	thewindmillman	58742
2	noam464	34899
3	PigDab	11516
4	EcksD	8642
5	Frozil12	6708
6	Blaiku	4871
7	Dedalus36	4823
8	eitanzaki	4634
9	Di_infiri	3907
10	lillips	3345
11	Fullut	2067
12	6king6colt6	2027
13	KliBeast21	1577
14	_TCARREIRA_	1527
15	Smoke____	1516
16	m_be9	1250
17	dudcreeper	1131
18	Ezekson	1088
19	NomadicRobin_	966
20	TechnoNinja64	927
21	kinas45y5	838
22	Freak_Genius	733
23	Hermanni__	680
24	ApophisNova	641
24	MyNamaSheff	641
26	trexgb	615
27	voiding_	581
28	Akoot_	566
29	_naturell	563
30	DarlaMeow	525
31	Leyna3	519
32	mwrty	506
33	Xclax101	505
34	kekhon	494
35	Hyp3rion_	430
36	UltraZombie	415
37	Tolhart	408
38	HellsSponge	402
39	MightyWertu	390
40	Fuhrer_Teemo	384
41	Shogunite	378
42	Enderslayerxz3	370
43	Racengan	362
44	EcksDofficial	330
45	KG1999	324
46	YungMaki	323
47	sebastiensaborio	314
48	ooga47	303
49	SteveWithClout	272
50	Skylord_Luke	259
51	Groovy_MoonBird	256
51	wTXop	256
51	Nicserso	256
54	Krasnal1337	254
55	Toriankel	249
56	Mahoose	245
57	T045RTY	243
57	joethahobo	243
59	Eraxa	241
60	littlesophiagirl	236
61	gcaisawesome	228
62	Groundler	225
62	oxfordschool	225
64	NebulousBadger	224
65	beeperbeeper5	216
65	Spacewardharpy7	216
67	Warlord324	214
68	Xalithia	210
69	Kowcio_	201
70	TheEnderman548	200
71	HesDemonPants	197
72	jacxhadow	192
72	iHuBlack	192
72	GlitchyPlate810	192
75	Awyrlas	191
75	Hisiste	191
77	jcool7	189
78	500am	185
79	rarrq	174
80	_NieToksikpl_	172
81	lordpipe	162
82	IdeallyGrey	159
83	ayamefag	155
84	Vizzoid	148
84	Winklepicker279	148
86	EveryonesUncle	146
87	Chromary	145
88	MSK__	142
89	jnp_gaming	140
90	Strangemonkey71	139
91	Batman922	138
92	SquadMonster	136
93	MeetTheWollo	129
94	krutas2000	128
95	pintsizedrogue	126
96	Onennon	125
97	DeGodz4life	121
98	Nagasaki_Riku	120
99	TheSecondLord	119
99	GravitySaint	119
101	fred870d	118
102	__tomato	115
103	yulgur1	114
104	SkateboardR6	113
105	stahouo	112
106	whoaluv	110
107	MAns_44	107
108	gabriels543	105
109	XboxPanda	99
110	Aryamanee	98
111	SellyZ	97
111	Soplight	97
113	WET_WET_WET	93
114	Jackattack53	90
114	AltnumberF4	90
116	Arceus1975	89
116	Snowflowe	89
116	Miko_Fullbuster	89
119	ShedJr_	87
120	Legendosh	86
121	Incinere	85
121	Bumpy419	85
121	Blu3beast	85
124	boog4loo	84
124	monky_irl	84
126	lizardfightclub	82
126	sxc_	82
128	Zythose	81
129	I_Am_Mushkin	80
130	RebelAndroid	79
130	fffMike	79
132	JEWISHBadenBeele	77
132	thescout7	77
132	SSytex_X	77
135	Whiterooster001	74
136	hm947	73
137	diamondgolem35	71
138	_Nuf	70
138	RadarHz	70
140	NameGenerat0r	69
141	dopplexd	67
141	paranoid_plant	67
143	Valoth	66
143	burbankbuilder28	66
145	bigstankyy	65
145	_Bguette_	65
147	Myszoaz	64
147	__TheNorseMan__	64
147	RefluxRatio	64
147	Optiprimus	64
147	lcvezra	64
147	_Yonk_	64
147	Faart	64
154	UrbanPlanner1978	62
155	SpookyDraggin	61
156	Elprone266	58
156	Zoeyfortnite	58
158	Reamdin	56
158	arcanemagic	56
158	EfficientC52	56
161	__Auspicious	55
162	jushykins	54
163	_Virify_	53
163	Spenduh	53
165	oreee	51
166	ROY4LE	50
166	Kakolbus	50
168	nocturne78	47
168	Razzgriz	47
170	DarkS0L	46
171	Scathra	45
172	Blackberry1310	44
172	Covalents	44
172	Truckoss	44
172	PortlyPete69	44
176	12Magner05	43
176	cwartzo	43
178	Nycteus_	42
179	The_slideV3	40
180	Z3braYTIL	39
180	FishyBoy3811	39
182	MakeHistory157	38
182	Drawgirll	38
184	DkansK	36
185	Franco093	35
185	UncreativeArtist	35
185	stavgod	35
188	MilleGrug	33
188	cichy096	33
190	Flores991	31
190	MinttyFressh	31
190	Luigipunch989	31
193	Cryptacity	30
193	censorsheep	30
193	stellarjay	30
196	masskedman	29
196	layabout100	29
196	Winston_Ingram	29
199	Malorn_Aetherius	27
199	eposlul	27
199	MinerDec	27
202	Hpdinosaur	26
202	lotarp	26
204	HolyVenom	24
204	501g	24
204	CalebDHawk	24
207	MangoTheFish	23
207	JESS_THE_RERE	23
207	brofrickcheaters	23
210	BlancoFlaco	22
210	Cocoamallows	22
210	h2p_emrld	22
213	set67	21
213	egglapras	21
213	PlasticOtari	21
216	WyngGoy	20
217	fallingemma	19
217	Doom_melon	19
217	SuperPooch06	19
217	KnightmareD	19
217	Rainaldus	19
222	Historical_Sand	18
222	jiggywraps	18
222	aec9	18
222	vandmanden	18
222	diggydog67	18
227	Hashinshin69	16
227	noodlepack	16
229	livingdaydreams	15
229	Boboczus	15
229	xxPipperDipperxx	15
229	Eczbek	15
233	xPixelRainx	14
233	bloodbiter	14
233	TheDankPlatypus	14
233	Lord_Jord	14
233	the__Reaper4999	14
233	alderban107	14
239	The_Thund	13
239	ImpavidArcher	13
239	chipklip	13
242	Sabby65	12
242	Zippyzam	12
242	Ao_Ken	12
242	Skippeh	12
242	CrazyPotater	12
247	Frxnkz	11
247	DolphinLaugh	11
247	Kubeusz2010	11
250	Paint	10
250	teslawolf38	10
250	q_wq	10
250	CoffeeNoir	10
250	MyNameIsJobo	10
250	amkold	10
250	JayToe	10
257	SaucyDark	9
257	_Razar	9
257	MOSS000	9
257	ReverendSmith	9
257	Nicky19	9
257	RoyalDorrr	9
257	DanTheBuilderino	9
257	fluddd	9
257	Northernrabbit	9
266	KokoILY	8
266	CollinMH06	8
266	jewbacaman	8
266	Sky_light_KING	8
266	_Karmaa	8
266	sp00ky_ghost977	8
266	Sral7	8
273	trixterrx	7
273	pappaberg	7
275	youhjjhhhjj	6
275	mimbo1211	6
275	Werbe	6
275	RobotMinion101	6
275	Katthaj	6
275	AssEatrAndLicker	6
275	geekbird	6
275	djancak	6
275	striker90333	6
284	soundad	5
284	FirsTimeGamingTV	5
284	Sqwishy	5
284	Rasmanden	5
284	LexMakesHistory	5
284	Bloo2406	5
284	Vorlice	5
284	IAmTheWalrus910	5
284	HAruSAme14	5
284	Njensen7	5
294	Cowison	4
294	NatrixxddxYT	4
294	Ssor69	4
294	YungJakobo	4
294	Wowful	4
294	Jiminbub	4
294	Deathkob	4
