rank	username	minecraft:dropped/minecraft:weeping_vines
1	Jackattack53	18362
2	Hyp3rion_	1122
3	noam464	827
4	k_ce	336
5	shadowthemonkey	328
6	TheSecondLord	151
7	beeperbeeper5	137
8	eitanzaki	119
9	Winklepicker279	100
10	Blaiku	82
11	emreknugrlu	78
12	Yamdalorian	66
13	_Mythic____	65
14	_Dean_123	59
15	Jimb0nat0r	57
16	YungMaki	54
17	Crowman1	48
18	Blackberry1310	46
19	gcaisawesome	32
20	gamerlord1324	31
21	DarlaMeow	27
22	pixelviolin	24
23	Kowcio_	23
23	trexgb	23
25	FreakGenius	20
26	PazinGaming	19
27	Frozil20	17
27	thewindmillman	17
29	jnp_gaming	14
30	RebelAndroid	13
30	Mahoose	13
30	MilleGrug	13
30	EcksD	13
34	Lez_	12
34	Nicserso	12
34	Enderxz3	12
37	BlancoFlaco	11
37	tuckerdoodle	11
39	EMC_	10
40	TheFlfthHorseman	9
40	SkateboardR6	9
40	PlasticOtari	9
40	00000000-0000-0000-0009-01ff0c3e5e4f	9
44	EdGalbraith	8
44	Segotep999	8
46	Awyrlas	7
46	NumbaOneMunch	7
46	Eraxa	7
49	podduszenie	6
49	blackeemperor	6
49	djancak	6
52	_Virify_	5
52	Zythose	5
52	Jekyll	5
52	NomadicRobin_	5
52	Dakar_	5
52	SvenskaHugo	5
52	hermmm_	5
52	Legendosh	5
60	I_Am_Mushkin	4
60	MSK__	4
60	kekhon	4
60	Smashic	4
60	TheWildMateo	4
60	TheShyPig	4
60	Thomez_	4
60	luseis	4
60	EfficientC52	4
60	Buuck_	4
70	6king6colt6	3
70	hm947	3
70	joethahobo	3
70	Tersea_	3
70	500am	3
70	mimbo1211	3
70	LugusMcGrugus	3
70	zToasty69z	3
70	Elastiq	3
70	That_tech_head	3
70	LexMakesHistory	3
70	AstreaTSS	3
82	pintsizedrogue	2
82	shineh10	2
82	T045RTY	2
82	ShedJr_	2
82	Sleepy_Time_	2
82	MinttyFressh	2
82	SteveCraftBlocks	2
82	xxPipperDipperxx	2
82	Di_infiri	2
82	whoaluv	2
82	RebytreGT	2
82	Skylord_Luke	2
82	bee_gorl	2
82	YahooScreen9000	2
82	SingedBread	2
82	kyouma777	2
82	MrShojo	2
82	Luigipunch989	2
82	Kubeusz2010	2
82	taengoos	2
82	ConnorDanky_	2
82	cichy096	2
82	2blox_	2
105	_stets	1
105	Alteriity	1
105	Da_Boss_Rani	1
105	rarrq	1
105	Fullut	1
105	mwrty	1
105	Xalithia	1
105	ROY4LE	1
105	Kubelz	1
105	TheDankPlatypus	1
105	Kakolbus	1
105	bl1ss0	1
105	Chromary	1
105	burbankbuilder28	1
105	Krowuss	1
105	Mattesco	1
105	PigDab	1
105	Samificator	1
105	FishyBoy3811	1
105	fw3xy74	1
105	gustarlep	1
105	EveryonesUncle	1
105	Fuad_R	1
105	shrimp_flips	1
105	HellsSponge	1
105	weabis	1
105	WyngGoy	1
105	Ze_BaronKrigler	1
105	underscore_2	1
105	NATE_the_HALO	1
105	UltraZombie	1
105	TheSandwhich_	1
