rank	username	minecraft:dropped/minecraft:gray_glazed_terracotta
1	Frozil20	852
2	Hyp3rion_	219
3	rarrq	64
4	eitanzaki	49
5	Krowuss	45
6	Lez_	41
7	noam464	39
8	joethahobo	38
9	Steelynan	32
10	emreknugrlu	16
11	bl1ss0	13
12	EcksD	12
13	Jackattack53	8
14	YungMaki	6
15	NameGenerat0r	3
16	TechnoNinja64	2
17	QuiCreans	1
17	Soplight	1
