rank	username	minecraft:dropped/minecraft:music_disc_stal
1	HellsSponge	195
2	Blu3beast	32
3	H72l9w	13
4	Mahoose	12
5	eitanzaki	10
6	chipklip	9
6	TechnoNinja64	9
8	youhjjhhhjj	6
8	Frozil12	6
8	YungMaki	6
8	jcool7	6
12	EcksD	5
13	PhantomsGhost_	4
13	Hpdinosaur	4
13	Euclidoris	4
13	ProfessorBee	4
13	surfinggiraffejp	4
13	Skylord_Luke	4
13	Jiminie	4
20	kekhon	3
20	Candad_	3
20	fluddd	3
23	Groovy_MoonBird	2
23	joethahobo	2
23	Fullut	2
23	Akoot_	2
23	TheTrueClipse	2
23	Deodorante	2
23	_Bguette_	2
23	claivin	2
23	Eraxa	2
23	Kyrum2169	2
23	SammiWolfGirl	2
23	Hermanni__	2
23	Powowowow	2
36	T045RTY	1
36	MOSS000	1
36	FirsTimeGamingTV	1
36	LoboTheLobster	1
36	Blackberry1310	1
36	TheSecondLord	1
36	Kamflame10	1
36	Resner	1
36	SpicyMeatballs	1
36	noam464	1
36	GOOBERGABE04	1
36	nitram49b	1
36	wTXop	1
36	Oliver_Frost	1
36	ApophisNova	1
36	PigDab	1
36	Maenara	1
36	Blaiku	1
36	Spacewardharpy7	1
36	_TCARREIRA_	1
36	_Yonk_	1
36	Njensen7	1
36	Steelynan	1
36	MyNamaSheff	1
36	Nicserso	1
