rank	username	minecraft:dropped/minecraft:chiseled_deepslate
1	mihimihimihi	1120
2	500am	168
3	TheSecondLord	68
4	Moofyman	64
5	thewindmillman	40
5	lordpipe	40
7	Skylord_Luke	35
8	TheBananaKat	30
9	CacheOut	23
10	CalebDHawk	16
11	RebelAndroid	9
11	JETrotter	9
13	Morgf	6
13	hydrothebot	6
13	fade_emerge78823	6
13	Enderxz3	6
17	Manaateee	4
18	beeperbeeper5	3
19	k_ce	2
19	Sleepy_Time_	2
19	Yamdalorian	2
22	teslawolf38	1
22	ImpavidArcher	1
22	MrKrabOnCoke	1
22	hanaryheatwave	1
22	Mattesco	1
22	Hahaa_0	1
22	Vol_Rod33	1
22	Fuad_R	1
22	_i_ERROR_i_	1
