rank	username	minecraft:dropped/minecraft:poisonous_potato
1	Zoeyfortnite	2201
2	thewindmillman	408
3	set67	134
4	Blaiku	98
5	noam464	82
6	fade_emerge78823	71
6	HellsSponge	71
8	Freak_Genius	67
9	eitanzaki	63
10	Voxin2K	61
11	Werbe	57
12	youhjjhhhjj	54
12	Eraxa	54
14	Bumpy419	53
15	Snowflowe	49
16	PhantomsGhost_	48
17	El_Jalapeno	47
17	kinas45y5	47
19	MightyWertu	46
19	Racengan	46
21	thescout7	34
22	Di_infiri	33
22	Smoke____	33
24	500am	32
24	Soplight	32
26	Mr_Byzantine	31
27	The11thDoctor	29
28	Xalithia	26
29	PigDab	25
29	TechnoNinja64	25
31	CoffeeNoir	22
32	pintsizedrogue	21
32	KarlKaek	21
32	ChampPog_	21
32	Toiton	21
36	SKYPEX_	20
36	beeperbeeper5	20
36	Fullut	20
36	Covalents	20
40	RadarHz	18
41	EMC_	16
41	Mahoose	16
41	kekhon	16
44	loveseeker	15
44	shockdocta	15
44	JESS_THE_RERE	15
44	SkateboardR6	15
48	Xclax101	14
49	ooga47	13
49	ADEXTV	13
49	NebulousBadger	13
52	Sna_Ke	12
52	XboxPanda	12
52	Zythose	12
52	Juh1s	12
56	rarrq	11
56	Smashic	11
56	benediktine1	11
59	LilLizardWizard	10
59	Zetsey	10
61	Iagoku	9
61	peach0s	9
61	titanlax	9
61	sandmire	9
61	himak1	9
61	lillips	9
61	1442	9
61	Dogcorn69420	9
61	EcksD	9
61	UrbanPlanner1978	9
71	Wooptey	8
71	Huwulling	8
71	drunkeeez	8
71	Kakolbus	8
71	Queen_Jalapeno	8
71	impossibleteapot	8
71	Qorbyn	8
71	oxfordschool	8
71	Yogscast_Manden	8
80	RatatJuice	7
80	Michaelelelelele	7
80	Rumpletaezer	7
80	TheShyPig	7
80	chipklip	7
80	HELLO_I_AM_BEAR	7
80	Dusk_95	7
80	TheOnlyRake	7
88	TooManyDuck	6
88	joethahobo	6
88	TheThomas69	6
88	prizm_	6
88	Ristebraaten	6
88	AJplaysMC_	6
88	Onennon	6
88	fred870d	6
88	CarryLine	6
88	NomadicRobin_	6
88	NYJ	6
88	MyNameIsDakar	6
88	_Karmaa	6
88	GravitySaint	6
88	Warlord324	6
88	Nagasaki_Riku	6
88	Ezekson	6
88	Yahrto	6
106	SyK7	5
106	SidorAlex	5
106	Malorn_Aetherius	5
106	slkiey	5
