rank	username	minecraft:dropped/minecraft:jungle_wood
1	Jackattack53	2361
2	TheSecondLord	288
3	lordpipe	128
4	Mahoose	44
5	Mattesco	32
6	SaucyDark	3
7	Franco093	2
7	noam464	2
