rank	username	minecraft:dropped/minecraft:milk_bucket
1	TechnoNinja64	134
2	Hyp3rion_	96
3	noam464	65
4	diamondgolem35	56
5	SammiWolfGirl	52
6	rarrq	46
7	Akoot_	36
8	500am	34
9	Mahoose	33
10	LovelyDane	30
11	Soplight	25
12	beeperbeeper5	19
12	kekhon	19
12	Fuad_R	19
12	AltnumberF4	19
16	UCP_TheKingK	18
17	EcksD	17
18	lizardfightclub	15
18	Smoke____	15
20	binman420	14
21	Wooptey	13
21	Blackberry1310	13
21	Arceus1975	13
21	JoeSaysBingBong	13
21	Kowcio_	13
26	xxPipperDipperxx	12
26	Blaiku	12
28	pintsizedrogue	9
28	EMC_	9
28	_Dean_123	9
28	RealGroot	9
32	Frozil20	7
32	Tyrannosplart	7
32	Vorlice	7
35	joethahobo	6
35	Eraxa	6
37	Nicserso	5
37	PlasticOtari	5
39	SteveCraftBlocks	4
39	SellyZ	4
39	olliebollie48	4
39	Smussa	4
39	Lord_Jord	4
39	lillips	4
39	Spacewardharpy7	4
39	anbbang	4
47	hm947	3
47	Killercatty78	3
47	Incinere	3
47	Lez_	3
47	nocturne78	3
47	MyNameIsJobo	3
47	thewindmillman	3
47	_Boipl_	3
47	ooga47	3
47	AlexxO_o	3
47	TheShyPig	3
47	Luminad3	3
47	luseis	3
47	djancak	3
47	gusstationwerker	3
47	SpacesickPrism	3
47	WYFYoyo	3
64	T045RTY	2
64	TheSecondLord	2
64	Fullut	2
64	slkiey	2
64	Inchef	2
64	TheDankPlatypus	2
64	Chromary	2
64	LilyNova	2
64	J4ko8_	2
64	NomadicRobin_	2
64	FreakGenius	2
64	Xclax101	2
64	Racengan	2
64	Kukkelikuk	2
64	obzii	2
64	xX_Stalin69_Xx	2
64	jnp_gaming	2
81	PhantomsGhost_	1
81	hollowww	1
81	KarlKaek	1
81	SlavBylat	1
81	ImpavidArcher	1
81	SyntheticSurgeon	1
81	NinjaKnifeKill	1
81	ccwildfire1	1
81	tramizu	1
81	BobDeBouwer1337	1
81	Ardennes	1
81	Guillemet	1
81	lorpus	1
81	himak1	1
81	KGTV	1
81	orxngejuice	1
81	Xalithia	1
81	r123moore	1
81	XboxPanda	1
81	Marbz_	1
81	fr_ser	1
81	Jackattack53	1
81	Snowflowe	1
81	shockdocta	1
81	Werbe	1
81	Hail_the_wombat	1
81	ILoveCarrot	1
81	Inbefour	1
81	Lord_Zacler	1
81	EveryonesUncle	1
81	YungWali	1
81	majlin16	1
81	Shogunite	1
81	Blu3beast	1
81	MightyWertu	1
81	ConJaBz	1
81	the__Reaper4999	1
81	AvaRosey	1
81	Cocoamallows	1
81	Mythic1130	1
81	SvenskaHugo	1
81	pixelviolin	1
81	YungMaki	1
81	somegirl12_	1
81	tsitrawhy	1
81	lcvezra	1
81	GlitchyPlate810	1
81	DennyKai	1
81	Sheldor097	1
81	Iamthejo	1
81	xolstoi	1
