rank	username	minecraft:dropped/minecraft:purple_concrete_powder
1	Hyp3rion_	81984
2	thewindmillman	53898
3	Jackattack53	1727
4	lillips	456
5	jnp_gaming	415
6	lordpipe	357
7	YungMaki	256
8	noam464	135
9	MixerDixer	25
10	xzvu	18
11	AnnieBathory	16
12	eitanzaki	9
13	Arceus1975	8
13	Blu3beast	8
15	luseis	6
16	carbo_bro	1
