rank	username	minecraft:dropped/minecraft:light_weighted_pressure_plate
1	mihimihimihi	11043
2	Hyp3rion_	7661
3	Jackattack53	1913
4	Smoke____	475
5	Racengan	347
6	thewindmillman	269
7	noam464	106
8	eitanzaki	64
9	thescout7	8
9	Eraxa	8
11	Sleek_Storm_721	2
11	fade_emerge78823	2
11	Kowcio_	2
11	Kubeusz2010	2
11	cichy096	2
16	EMC_	1
16	Gundam_Steven	1
16	12Magner05	1
16	_Nuf	1
16	gcaisawesome	1
16	Skylord_Luke	1
16	RoofTyler	1
16	1442	1
16	HellsSponge	1
16	Warlord324	1
16	Spacewardharpy7	1
16	MovingFish7	1
16	pixelviolin	1
