rank	username	minecraft:dropped/minecraft:green_wool
1	noam464	73720
2	thewindmillman	42521
3	EcksD	18357
4	Hermanni__	3485
5	Hyp3rion_	2598
6	HellsSponge	1780
7	eitanzaki	1438
8	Blaiku	435
9	ConnorDanky_	384
10	kekhon	321
11	Kowcio_	286
12	ManlyAdjective	282
13	Werbe	257
14	PhantomsGhost_	256
14	Kyrum2169	256
16	beeperbeeper5	249
17	joethahobo	200
18	UCP_TheKingK	187
19	Crowman1	186
20	xolstoi	136
21	lordpipe	128
22	TheSecondLord	71
23	AlexxO_o	68
23	Legendosh	68
25	PigDab	67
26	Smashic	64
26	MeanTugger	64
26	Shogunite	64
26	Blu3beast	64
30	NomadicRobin_	58
31	Mahoose	56
32	pintsizedrogue	50
33	Smoke____	49
34	ShedJr_	48
35	Spacewardharpy7	46
36	luseis	38
37	Di_infiri	32
37	Rebytre	32
39	jnp_gaming	26
40	Blackberry1310	25
41	TechnoNinja64	22
42	KingMatthew506	20
43	El_Jalapeno	18
44	Huwulling	16
44	mimbo1211	16
44	prizm_	16
44	jcool7	16
44	CattSoup	16
49	Cowison	15
50	Xclax101	12
50	CalebDHawk	12
52	SteveCraftBlocks	9
53	Syropatathe	8
53	Dogcorn69420	8
53	Njensen7	8
56	seramalen	6
57	Mr_Byzantine	4
57	lorpus	4
57	Kakolbus	4
57	Jiminbub	4
61	Frozil20	3
61	EveryonesUncle	3
61	FreakGenius	3
64	Marbz_	2
64	TheShyPig	2
64	AlphaWolfPlaysMC	2
64	JackyKwacky	2
64	Sheldor097	2
69	dopplexd	1
69	Snowflowe	1
69	k1ngGilgamesh	1
69	yulgur1	1
69	zack454	1
69	The_slideV3	1
69	Quaintster	1
69	YungMaki	1
69	Quotary	1
69	Zoeyfortnite	1
69	FishisTTV	1
