rank	username	minecraft:dropped/minecraft:clock
1	Jackattack53	76
2	Hyp3rion_	66
3	500am	52
4	SammiWolfGirl	40
5	fffMike	24
6	eitanzaki	22
6	beeperbeeper5	22
8	Tyrannosplart	21
9	YungMaki	20
10	kekhon	13
11	PigDab	12
11	FreakGenius	12
11	h2p_emrld	12
14	Akoot_	11
15	xxPipperDipperxx	9
16	Mahoose	8
16	Racengan	8
18	T045RTY	7
18	Eraxa	7
18	Smoke____	7
21	Huwulling	6
21	noam464	6
21	_Bguette_	6
24	Arceus1975	5
24	CalebDHawk	5
26	Groovy_MoonBird	4
26	SteveCraftBlocks	4
26	r123moore	4
26	Blu3beast	4
26	Soplight	4
26	ConnorDanky_	4
32	Fullut	3
32	thewindmillman	3
32	binman420	3
32	lcvezra	3
36	pintsizedrogue	2
36	TildaAndrea	2
36	q_wq	2
36	Esme_1	2
36	hm947	2
36	Lez_	2
36	rarrq	2
36	bloodbiter	2
36	Gingayy	2
36	intropass	2
36	mimbo1211	2
36	Di_infiri	2
36	Chromary	2
36	Werbe	2
36	Onennon	2
36	NomadicRobin_	2
36	Fuad_R	2
36	HellsSponge	2
36	MightyWertu	2
36	APS_Dan	2
36	TechnoNinja64	2
36	Zoeyfortnite	2
36	FishisTTV	2
59	SmashingPump	1
59	diamondgolem35	1
59	Incinere	1
59	Natty	1
59	lotarp	1
59	joethahobo	1
59	titanlax	1
59	Koffeeinz	1
59	Auseawesome	1
59	TheSecondLord	1
59	jushykins	1
59	_Nuf	1
59	Kkanot	1
59	LeauVox4921	1
59	KingEgg1	1
59	fr_ser	1
59	AlexStrange	1
59	_Boipl_	1
59	The_Fulgurator	1
59	Skylord_Luke	1
59	A_Potatoe	1
59	epiksk8erduck	1
59	ZA07	1
59	Leyna3	1
59	SaintJosie	1
59	parodypatient	1
59	jambvds	1
59	_Karmaa	1
59	StinkyDiplomat	1
59	Quaintster	1
59	CheifJumbo	1
59	MakeHistory157	1
59	SexcMf	1
59	SvenskaHugo	1
59	Kowcio_	1
59	TheALV	1
59	Skippeh	1
59	HuangMeiHua	1
59	Ezekson	1
59	EcksD	1
59	Nicserso	1
59	AltnumberF4	1
59	bladeefan2009	1
