rank	username	minecraft:dropped/minecraft:turtle_scute
1	pintsizedrogue	65
2	rarrq	5
3	oscminus	4
4	beeperbeeper5	2
5	robertsnose	1
5	MattieHD	1
5	lordpipe	1
