rank	username	minecraft:dropped/minecraft:acacia_fence_gate
1	Smoke____	13
2	noam464	11
3	stellarjay	7
4	ThePoliteG	4
5	beeperbeeper5	3
5	EcksD	3
7	rarrq	2
7	EveryonesUncle	2
7	claivin	2
7	IAmTheWalrus910	2
11	Mahoose	1
11	Werbe	1
11	Meatlaugh	1
11	Blaiku	1
11	Ze_BaronKrigler	1
11	__tomato	1
11	xzvu	1
