rank	username	minecraft:dropped/minecraft:light_gray_dye
1	thewindmillman	919056
2	noam464	38320
3	eitanzaki	471
4	Blaiku	450
5	MousePlays	320
6	500am	194
7	MixerDixer	180
8	Hyp3rion_	175
9	HellsSponge	136
10	Blackberry1310	135
11	YungMaki	129
12	Snowflowe	103
13	Lez_	98
14	Smoke____	81
15	SkateboardR6	69
16	thescout7	67
17	EveryonesUncle	64
17	LexMakesHistory	64
17	PlasticOtari	64
17	QueenHedwig9	64
21	Inchef	62
21	sadvavilloso	62
23	PeteO1995	57
24	ConnorDanky_	56
25	Xclax101	44
26	set67	42
27	BlancoFlaco	36
28	Wowful	35
28	xolstoi	35
30	Arceus1975	29
30	OLookItsAnxiety	29
32	beeperbeeper5	28
33	Rumpletaezer	26
33	mihimihimihi	26
35	surfinggiraffejp	22
36	ImpavidArcher	18
36	Zippyzam	18
36	Winklepicker279	18
39	Groundler	16
40	kekhon	14
41	pintsizedrogue	12
41	ProbablyNick	12
41	Sral7	12
44	binman420	10
45	Tjhodskins19	8
45	M_Patata	8
45	Skylord_Luke	8
45	Tyrannosplart	8
45	MasterNueve	8
50	Lord_Jord	7
50	Deathkob	7
52	redikul	6
52	luseis	6
52	The_slideV3	6
52	MovingFish7	6
56	Eraxa	5
56	djancak	5
58	SuperPooch06	4
58	anbbang	4
60	TheSecondLord	3
60	Diavri	3
60	RobotMinion101	3
60	Dan_Scha	3
60	Luminad3	3
60	Racengan	3
60	brofrickcheaters	3
60	xzvu	3
60	Vellu21	3
69	ZaneABrain	2
69	Swexti	2
69	oreee	2
69	TheFlfthHorseman	2
69	12Magner05	2
69	_Dean_123	2
69	Hiryu27	2
69	TheWildMateo	2
69	AlexxO_o	2
69	weabis	2
69	Quaintster	2
69	fluddd	2
69	Kowcio_	2
69	Luigipunch989	2
69	Njensen7	2
84	Groovy_MoonBird	1
84	Frozil20	1
84	Iagoku	1
84	hm947	1
84	SyntheticSurgeon	1
84	Prismyst	1
84	Da_Boss_Rani	1
84	Sleepy_Time_	1
84	CliffEmAll	1
84	Cryptacity	1
84	Fullut	1
84	BigMoneyH	1
84	Werbe	1
84	MonitorLizards	1
84	SvenskaAlvar	1
84	AuroraSkies	1
84	NomadicRobin_	1
84	lillips	1
84	E775	1
84	FreakGenius	1
84	Jamstroxian	1
84	MightyWertu	1
84	iSammael	1
84	Cocoamallows	1
84	SSytex_X	1
84	SammiWolfGirl	1
84	Nekomin0	1
84	PortlyPete69	1
84	Dogcorn69420	1
84	CalebDHawk	1
84	HesDemonPants	1
84	bladeefan2009	1
84	JayToe	1
