rank	username	minecraft:dropped/minecraft:lime_terracotta
1	thewindmillman	124659
2	FreakGenius	641
3	YungMaki	448
4	EcksD	264
5	Frozil20	192
6	lordpipe	146
7	Hyp3rion_	136
8	Shogunite	128
9	rarrq	109
10	The11thDoctor	85
11	Alteriity	64
11	Manaateee	64
13	ZoomieZoomie	63
14	Krowuss	57
15	eitanzaki	42
16	_Karmaa	38
17	PigDab	33
18	lorpus	29
18	luseis	29
20	AlexxO_o	27
21	Di_infiri	26
22	noam464	19
23	AdmiralSmoke	12
24	kekhon	9
24	Inbefour	9
26	Blu3beast	8
27	UCP_TheKingK	6
28	_Huge_Male_	5
28	Werbe	5
30	pintsizedrogue	3
30	Nicserso	3
32	Sabby65	2
32	beeperbeeper5	2
32	Blackberry1310	2
32	Kakolbus	2
32	GravitySaint	2
32	jcool7	2
38	Inchef	1
