rank	username	minecraft:dropped/minecraft:polished_blackstone_brick_slab
1	noam464	1912
2	lillips	1786
3	Blaiku	1526
4	mwrty	745
5	PigDab	543
6	eitanzaki	351
7	MSK__	317
8	beeperbeeper5	237
9	rarrq	121
10	EcksD	85
11	EveryonesUncle	78
12	Mahoose	64
12	Di_infiri	64
12	Nycteus_	64
15	YungMaki	52
16	YungJakobo	47
17	thewindmillman	30
18	Akoot_	20
19	kekhon	17
20	Shogunite	14
20	lordpipe	14
22	Eraxa	12
23	Solar_Power	10
24	Werbe	9
25	12Magner05	8
25	burbankbuilder28	8
25	HolyVenom	8
28	Master_Kol	6
28	djancak	6
28	GlitchyPlate810	6
31	RebelAndroid	3
31	r123moore	3
31	Hyp3rion_	3
34	nataliecool	2
34	jacxhadow	2
34	Zythose	2
34	SkateboardR6	2
34	KG1999	2
34	Winston_Ingram	2
34	trexgb	2
41	Cowison	1
41	hm947	1
41	_Razar	1
41	TheSecondLord	1
41	BobDeBouwer1337	1
41	Fullut	1
41	Awyrlas	1
41	xxPipperDipperxx	1
41	gcaisawesome	1
41	Winklepicker279	1
41	Spacewardharpy7	1
41	__tomato	1
