rank	username	minecraft:dropped/minecraft:music_disc_pigstep
1	noam464	8
2	thewindmillman	6
3	r123moore	4
3	FishyBoy3811	4
5	Blackberry1310	3
5	doublemaki	3
7	joethahobo	2
7	MrKrabOnCoke	2
7	beeperbeeper5	2
7	Xalithia	2
7	DrowsyOracle	2
7	Njensen7	2
7	ConnorDanky_	2
7	es0th	2
7	Yamdalorian	2
16	ECstardust	1
16	Ryan_GEMS	1
16	hm947	1
16	eitanzaki	1
16	Alteriity	1
16	Mahoose	1
16	Lez_	1
16	Myszoaz	1
16	kekhon	1
16	Fullut	1
16	lorpus	1
16	Marbz_	1
16	Di_infiri	1
16	U_Mos_	1
16	AlexxO_o	1
16	Akoot_	1
16	HellsSponge	1
16	CacheOut	1
16	Segotep999	1
16	_Yonk_	1
16	hermmm_	1
16	Enderxz3	1
16	HesDemonPants	1
16	PlasticOtari	1
