rank	username	minecraft:dropped/minecraft:lime_carpet
1	noam464	940
2	_Virify_	656
3	eitanzaki	458
4	beeperbeeper5	296
5	Spacewardharpy7	115
6	Xclax101	113
7	CJPerson	96
8	LexMakesHistory	81
9	Kyrum2169	65
10	lillips	64
11	Warlord324	36
12	Werbe	33
13	kekhon	32
14	KingMatthew506	31
15	TechnoNinja64	27
16	Hyp3rion_	15
17	Lez_	14
17	Legendosh	14
19	PigDab	12
20	HellsSponge	11
21	CoffeeNoir	8
22	Jackattack53	6
23	I_Am_Mushkin	4
23	mwrty	4
23	Quaintster	4
26	k_ce	3
26	Rebytre	3
26	Blaiku	3
26	Racengan	3
26	EcksD	3
26	AdmiralSmoke	3
32	Blackberry1310	2
32	paranoid_plant	2
32	lordpipe	2
32	stavgod	2
32	calamariclam_I	2
37	heckface	1
37	CaracolCxnt	1
37	Inbefour	1
37	EveryonesUncle	1
37	FreakGenius	1
37	Hermanni__	1
37	Iamthejo	1
