rank	username	minecraft:dropped/minecraft:soul_lantern
1	noam464	1523
2	thewindmillman	266
3	T045RTY	257
4	eitanzaki	203
5	Blaiku	153
6	Smoke____	136
7	Historical_Sand	129
8	Lil_Breadboy	128
9	beeperbeeper5	127
10	Akoot_	65
11	SyntheticSurgeon	64
11	HolyVenom	64
13	NieToksikpl	43
14	GlitchyPlate810	41
15	FishyBoy3811	37
16	livingdaydreams	34
16	Lord_Jord	34
18	MrKrabOnCoke	20
19	rarrq	16
19	Blackberry1310	16
21	Eraxa	14
22	Spacewardharpy7	7
23	Soplight	6
24	SteveCraftBlocks	5
25	joethahobo	4
25	Arceus1975	4
25	Shogunite	4
25	Legendosh	4
29	TheSecondLord	3
29	TheShyPig	3
29	Enderslayerxz3	3
32	oxfordschool	2
33	ImHeteroPhobic	1
33	_Virify_	1
33	teslawolf38	1
33	RebelAndroid	1
33	Mahoose	1
33	Inchef	1
33	r123moore	1
33	Chromary	1
33	Werbe	1
33	HellsSponge	1
33	Kowcio_	1
33	SammiWolfGirl	1
33	KingMatthew506	1
33	Ezekson	1
