rank	username	minecraft:dropped/minecraft:amethyst_shard
1	Jackattack53	2214
2	noam464	1872
3	thewindmillman	1246
4	Mahoose	1000
5	Smoke____	766
6	SteveCraftBlocks	177
7	PigDab	128
8	beeperbeeper5	103
9	Hyp3rion_	101
10	TheSecondLord	74
11	Segotep999	46
12	Marbz_	43
13	Inchef	39
14	prizm_	36
15	MilleGrug	28
16	CollinMH06	24
17	12Magner05	23
18	HolyVenom	21
19	diamondgolem35	18
20	Spacewardharpy7	16
21	Khelvoryk	14
21	EcksD	14
23	pixelviolin	12
24	Kowcio_	10
25	calamariclam_I	9
26	Racengan	8
27	Yahir091	6
27	iSammael	6
29	pintsizedrogue	5
29	Jiminie	5
31	chrolus	4
31	MrKrabOnCoke	4
31	Crowman1	4
31	Winklepicker279	4
31	AlexxO_o	4
31	fw3xywashere	4
31	lordpipe	4
31	YungMaki	4
39	ImpavidArcher	3
40	Silvo614	2
40	NameGenerat0r	2
40	READEREID	2
40	mihimihimihi	2
40	SvenskaHugo	2
45	MSK__	1
45	Kubelz	1
45	Jonte0599	1
45	djancak	1
