rank	username	minecraft:dropped/minecraft:cyan_bed
1	ItsColin11	101
2	skitzxo	33
3	eitanzaki	11
3	mariominejedi	11
5	beeperbeeper5	8
6	FreddyFart	5
6	Blaiku	5
8	joethahobo	4
9	2Stout	3
9	Skylord_Luke	3
9	Tyrannosplart	3
12	JohnnyFyes	2
12	Kakolbus	2
12	THEKINGLyric10	2
12	stellarjay	2
12	Zoeyfortnite	2
17	pintsizedrogue	1
17	fanofbands101	1
17	Merv__	1
17	Cartoonmaniac	1
17	i2f8x4h8ro	1
17	4774	1
17	noam464	1
17	thewindmillman	1
17	Mattesco	1
17	ADEXTV	1
17	luseis	1
17	_Karmaa	1
17	Shogunite	1
17	Xclax101	1
17	fluddd	1
17	Toriankel	1
17	Pumpkin_P_Patch	1
17	Soplight	1
17	Legendosh	1
