rank	username	minecraft:dropped/minecraft:warped_hyphae
1	thewindmillman	66992
2	mwrty	109
3	Kowcio_	77
4	eitanzaki	65
5	SpacesickPrism	56
6	Manaateee	15
7	Blaiku	14
8	Spacewardharpy7	3
9	12Magner05	1
9	iSammael	1
9	Soplight	1
