rank	username	minecraft:dropped/minecraft:pink_dye
1	thewindmillman	563712
2	Hyp3rion_	27281
3	noam464	25930
4	hanaryheatwave	20800
5	beeperbeeper5	3522
6	lordpipe	517
7	TechnoNinja64	321
8	ConnorDanky_	287
9	Crowman1	238
10	imaginek1d	198
11	HellsSponge	141
12	Lez_	96
13	Bandito_Roamer	67
13	Ecplosive	67
15	Dennid	65
15	AltnumberF4	65
17	Huwulling	64
17	joethahobo	64
17	emreknugrlu	64
17	Blu3beast	64
21	kekhon	63
22	FishisTTV	62
23	Sleepy_Evelyn	59
24	mwrty	54
25	Blaiku	41
26	Kattma	40
27	luseis	39
28	pintsizedrogue	32
28	MinerDec	32
28	robonya_	32
31	_i_ERROR_i_	26
32	MovingFish7	21
33	Quotary	19
34	BadenOnGod	18
34	q_wq	18
34	LeeMcGee30	18
37	xzvu	16
37	Yamdalorian	16
39	Archsam	14
39	Fuad_R	14
41	SSytex_X	12
42	eitanzaki	11
42	royal_2	11
42	ROY4LE	11
45	Sorry_Arey07	10
46	Akoot_	9
47	Inchef	7
48	Mahoose	6
48	ese_wn_po	6
48	Eraxa	6
51	NomadicRobin_	5
52	corvidpartyfor6	4
52	Arceus1975	4
52	HAIRYCLOUD626	4
52	XxCookiequeenxX	4
52	cutelilreno	4
52	Spacewardharpy7	4
58	SaucyDark	3
58	Zippyzam	3
58	TheSecondLord	3
58	John6970	3
58	Bumpy419	3
58	Kowcio_	3
58	PlzNoBM	3
58	Spaghettatron	3
66	seanitoo	2
66	MadBroMad	2
66	Dumkii	2
66	MyMawgDonaldsGon	2
66	Prismyst	2
66	_vlex	2
66	Xalithia	2
66	SellyZ	2
66	Winklepicker279	2
66	ScootOfBoot	2
66	420BreadLizard	2
66	ChocolatePepsi	2
66	Tyrannosplart	2
66	Soap_Bender	2
66	Racengan	2
66	sp00ky_ghost977	2
66	djancak	2
66	starbits140	2
84	PhantomsGhost_	1
84	Wooptey	1
84	Natty	1
84	jushykins	1
84	Studio4x32	1
84	poopybh	1
84	500am	1
84	Fullut	1
84	xxPipperDipperxx	1
84	ApophisNova	1
84	IamCL4SSY	1
84	EdGalbraith	1
84	LexMakesHistory	1
84	RedcatVII	1
84	babyjimmyneutron	1
84	Razzgriz	1
84	Kura2218	1
84	SammiWolfGirl	1
84	TheBananaKat	1
84	MyNamaSheff	1
84	mountaingirl311	1
84	Enderxz3	1
84	jnp_gaming	1
