rank	username	minecraft:dropped/minecraft:brewing_stand
1	500am	657
2	noam464	147
3	diamondgolem35	88
4	Blaiku	65
5	SmashingPump	64
6	GlitchyPlate810	50
7	lillips	31
8	Kowcio_	27
9	CollinMH06	22
10	PigDab	19
10	SammiWolfGirl	19
12	FreakGenius	15
13	Racengan	7
14	Mythic1130	5
15	kekhon	4
15	PuustaKauasPdnt	4
15	gabriels543	4
15	Hyp3rion_	4
15	SaintJosie	4
15	Eraxa	4
15	SvenskaHugo	4
15	MineMaster0012	4
23	thescout7	3
23	sammidk	3
25	Wooptey	2
25	eitanzaki	2
25	livingdaydreams	2
25	Euclidoris	2
25	TheSecondLord	2
25	ProfessorBee	2
25	Smashic	2
25	xxPipperDipperxx	2
25	Di_infiri	2
25	Hiryu27	2
25	_Bguette_	2
25	fluddd	2
25	jnp_gaming	2
25	Smoke____	2
39	H0UNDFRMH3LL	1
39	funeralhome	1
39	AuroraValkyrie	1
39	TildaAndrea	1
39	6king6colt6	1
39	Incinere	1
39	NoHaHeHa	1
39	ZaneABrain	1
39	KomputerDude	1
39	SidorAlex	1
39	elmer1234	1
39	LoboTheLobster	1
39	Secret_Canary	1
39	set67	1
39	Awyrlas	1
39	emrekn	1
39	fr_ser	1
39	ChillenChiggen	1
39	tobinwilliams	1
39	Skylord_Luke	1
39	ooga47	1
39	BRRRN179	1
39	ougstur	1
39	Akoot_	1
39	wezzzi	1
39	masskedman	1
39	Tyrannosplart	1
39	NameGenerat0r	1
39	lordpipe	1
39	geekbird	1
39	stavgod	1
39	Soplight	1
39	Skippeh	1
39	Aryamanee	1
39	cichy096	1
39	AltnumberF4	1
39	TechnoNinja64	1
