rank	username	minecraft:dropped/minecraft:raw_iron
1	thewindmillman	21053
2	non089	951
3	beeperbeeper5	624
4	_i_ERROR_i_	510
5	TheBananaKat	343
6	00000000-0000-0000-0009-01ff0c3e5e4f	313
7	Kowcio_	292
8	AlexxO_o	276
9	Dakar_	259
10	diamondgolem35	249
11	longappendage	242
12	Steelynan	220
13	mihimihimihi	203
14	weabis	202
15	lorpus	198
16	lorywithay	196
17	Flapjacker687	192
18	Iamthejo	188
19	AdmiralSmoke	185
20	Winklepicker279	170
21	alderban107	158
22	PazinGaming	144
23	shrimp_flips	138
24	Aryamanee	126
25	Jackattack53	104
26	Da_Boss_Rani	102
26	Nicserso	102
28	ECstardust	97
29	prizm_	88
30	MirielThePastor	85
31	Racengan	78
32	luseis	76
32	Spacewardharpy7	76
34	q_wq	75
34	Smashic	75
36	CuzIm2Kev	74
36	Spenduh	74
38	Jonte0599	70
39	Lez_	65
39	SpacesickPrism	65
41	xPixelRainx	64
41	brofrickcheaters	64
41	Celeste_121	64
44	fffMike	63
45	TheWildMateo	62
46	Rebytre	61
46	Lord_Zacler	61
48	MrKrabOnCoke	57
48	Jimb0nat0r	57
50	Alteriity	53
50	Nycteus_	53
50	YungMaki	53
50	Segotep999	53
54	groofles	52
55	500am	51
56	k_ce	50
57	catandmoose	49
57	Manaateee	49
59	rarrq	48
60	lunathelemon	46
60	SvenskaAlvar	46
60	Fuad_R	46
60	StarCookiees_	46
64	PigDab	43
64	yulgur1	43
66	THEKINGLyric10	40
67	Lil_Breadboy	39
67	NATE_the_HALO	39
69	fade_emerge78823	38
69	LeonelSalamanca	38
71	Crowman1	35
71	fw3xy74	35
73	Hyp3rion_	34
74	MuffinManzz	31
74	SvenskaHugo	31
74	CalebDHawk	31
77	SteveCraftBlocks	30
77	0Vyp_	30
77	Skylord_Luke	30
80	Xclax101	29
81	pintsizedrogue	28
81	kidel03	28
81	Z3braYTIL	28
81	Drake_l0ver	28
81	WigglyMustard	28
81	Njensen7	28
87	Mattesco	26
87	kyouma777	26
89	Krowuss	25
89	Soplight	25
91	NieToksikpl	24
91	ScootOfBoot	24
93	TheSecondLord	23
94	FreakGenius	22
95	Dumkii	21
96	Archsam	20
96	Kkanot	20
96	BronkerBrum	20
96	LeGold	20
96	Enderxz3	20
101	Mahoose	19
101	Reneedium	19
101	Luminad3	19
104	Deu_Stew	18
104	gcaisawesome	18
104	Snowflowe	18
107	Base_Tempest	17
107	AstreaTSS	17
107	DolphinLaugh	17
110	Myszoaz	15
110	excelsionprime	15
110	somegirl12_	15
113	bananamix994	14
113	drunkeeez	14
113	HolyVenom	14
113	TJawesome09	14
117	Solar_Power	13
117	AuroraSkies	13
117	TheOuterCore	13
120	chipklip	12
120	Touched_Bread	12
120	skrongus	12
123	ImpavidArcher	11
123	12Magner05	11
123	NLKBuilder	11
123	SlothInASuit	11
127	SyntheticSurgeon	10
127	ARandomHedge	10
127	noam464	10
127	Kubelz	10
127	EveryonesUncle	10
127	AltnumberF4	10
133	Groovy_MoonBird	9
133	ItsHydroMC	9
133	pixelviolin	9
136	Mr_Byzantine	8
136	Apollo_993	8
136	itburb	8
136	Killercatty78	8
136	Avocadogerms	8
136	ThatMan_Dave	8
136	fluddd	8
143	TheDankPlatypus	7
144	H0UNDFRMH3LL	6
144	_Huge_Male_	6
144	Inchef	6
144	Werbe	6
144	lordpipe	6
144	UCP_TheKingK	6
144	LeEricc	6
144	BungalowBeet	6
144	trexgb	6
153	ZaneABrain	5
153	SquadMonster	5
153	Masssonnn	5
153	iElijah	5
153	dartwaffle	5
153	PaperCanvas	5
153	KeruNatsema	5
153	Hail_the_wombat	5
153	TruestTurnip	5
153	iSammael	5
163	CLG_Kata	4
163	tuckerdoodle	4
163	YairZaki	4
163	Secret_Canary	4
163	Mandroch	4
163	bee_gorl	4
163	HyperCave	4
163	Elastiq	4
163	Kekoo	4
163	EcksD	4
173	RebelAndroid	3
173	dawerty	3
173	olliebollie48	3
173	okCrypto	3
173	hanaryheatwave	3
173	JitteryJared2	3
173	OreTheBear	3
173	Hermanni__	3
173	CattSoup	3
182	BPTY4618	2
182	shineh10	2
182	hm947	2
182	Flores991	2
182	NoHaHeHa	2
182	TAKrules	2
182	shadowthemonkey	2
182	CollinMH06	2
182	Nadhorion	2
182	Wowful	2
182	ChronoSounds	2
182	ElectricDragon81	2
182	TheEnderMan548	2
182	calamariclam_I	2
196	CloroxBleach385	1
196	ITDV	1
196	Auseawesome	1
196	Chickenchaser2	1
196	Megarboh	1
196	Patwannabegamer	1
196	Jimi7hits	1
196	Crynrus	1
196	MineMaster0012	1
196	KeterComet	1
196	CrazyPotater	1
196	WYFYoyo	1
196	_Dri_	1
