rank	username	minecraft:dropped/minecraft:pink_concrete_powder
1	Hyp3rion_	255144
2	Jackattack53	1728
3	jnp_gaming	448
4	thewindmillman	408
5	xzvu	245
6	Tobinator_007	211
7	noam464	128
8	beeperbeeper5	104
9	Mr_Byzantine	48
10	Crowman1	8
10	skitzxo	8
12	lordpipe	5
13	pintsizedrogue	4
