rank	username	minecraft:dropped/minecraft:purple_concrete
1	thewindmillman	17064
2	Jackattack53	3456
3	emreknugrlu	560
4	lordpipe	297
5	Frozil20	223
6	Manaateee	128
6	Kowcio_	128
8	PigDab	113
9	TheSecondLord	64
10	xzvu	55
11	Yamdalorian	52
12	luseis	39
13	fr0stss	33
14	LuvLuvLove	32
15	Blaiku	28
16	TechnoNinja64	21
17	Racengan	17
18	IamCL4SSY	13
19	noam464	7
20	set67	4
20	Arceus1975	4
20	The_slideV3	4
20	_flud	4
20	SkateboardR6	4
25	MakeHistory157	3
26	eitanzaki	2
27	PazinGaming	1
27	EMC_	1
27	Notta	1
27	HellsSponge	1
