rank	username	minecraft:dropped/minecraft:goat_horn
1	thewindmillman	1226
2	Mahoose	34
3	corvidpartyfor6	14
4	luseis	12
5	Iamthejo	11
6	pintsizedrogue	10
6	FishisTTV	10
8	Segotep999	9
9	ImpavidArcher	8
9	rarrq	8
11	LeonelSalamanca	7
11	weabis	7
11	Kowcio_	7
14	DinoDoctor_	6
14	joethahobo	6
16	Alteriity	5
16	iElijah	5
18	k_ce	4
18	olliebollie48	4
18	Hyp3rion_	4
18	Rebytre	4
18	PlasticOtari	4
23	Blackberry1310	3
23	Luminad3	3
23	Soplight	3
23	Eczbek	3
27	SyntheticSurgeon	2
27	Lez_	2
27	beeperbeeper5	2
27	500am	2
27	TheDankPlatypus	2
27	AlexxO_o	2
27	CuzIm2Kev	2
27	Fuad_R	2
27	Spacewardharpy7	2
27	ItsDeltaMC	2
27	AdmiralSmoke	2
38	CLG_Kata	1
38	Merv__	1
38	shineh10	1
38	Frozil20	1
38	_themselves	1
38	Crowman1	1
38	rebichuu	1
38	Smashic	1
38	TheWildMateo	1
38	Moofyman	1
38	Akoot_	1
38	Dakar_	1
38	3_Solar_3	1
38	OffWithTheirHead	1
38	pixelviolin	1
38	MineMaster0012	1
38	_i_ERROR_i_	1
38	CattSoup	1
38	gooseboi_69	1
38	Legendosh	1
38	Jimb0nat0r	1
