rank	username	minecraft:dropped/minecraft:netherite_axe
1	500am	61
2	eitanzaki	36
2	PlasticOtari	36
4	beeperbeeper5	28
5	Spacewardharpy7	21
6	Mahoose	15
7	Blackberry1310	14
8	Freak_Genius	11
9	Rebytre	10
9	Smoke____	10
11	Racengan	9
11	Enderslayerxz3	9
13	T045RTY	8
13	CoffeeNoir	8
13	thewindmillman	8
13	Akoot_	8
13	EveryonesUncle	8
13	Blaiku	8
19	pintsizedrogue	7
19	noam464	7
19	Chromary	7
19	NomadicRobin_	7
19	SkateboardR6	7
19	lordpipe	7
19	fffMike	7
19	MilleGrug	7
19	HesDemonPants	7
28	teslawolf38	6
28	egglapras	6
28	Ezekson	6
31	joethahobo	5
31	Winklepicker279	5
31	Hyp3rion_	5
31	Kowcio_	5
31	Spenduh	5
36	q_wq	4
36	bigstankyy	4
36	Historical_Sand	4
36	set67	4
36	ROY4LE	4
36	Di_infiri	4
36	PigDab	4
36	masskedman	4
36	EcksD	4
45	Myszoaz	3
45	Nicky_H225	3
45	kekhon	3
45	r123moore	3
45	fred870d	3
45	Wowful	3
45	LexMakesHistory	3
45	Eraxa	3
45	oxfordschool	3
45	RadarHz	3
55	JohnnyFyes	2
55	nataliecool	2
55	_NieToksikpl_	2
55	Merv__	2
55	6king6colt6	2
55	Sleek_Storm_721	2
55	Dedalus36	2
55	ImpavidArcher	2
55	RebelAndroid	2
55	ShedJr_	2
55	BobDeBouwer1337	2
55	UncreativeArtist	2
55	Inchef	2
55	xxPipperDipperxx	2
55	burbankbuilder28	2
55	Lord_Jord	2
55	Deathkob	2
55	TheTommyGun63	2
55	obzii	2
55	Quotary	2
55	YoshikageBites	2
76	Jovaphobic	1
76	_Virify_	1
76	Cowison	1
76	strongman951753	1
76	soundad	1
76	Drlzyy	1
76	EMC_	1
76	error10101	1
76	BlancoFlaco	1
76	Hpdinosaur	1
76	rarrq	1
76	TheSecondLord	1
76	Fullut	1
76	paranoid_plant	1
76	benediktine1	1
76	XboxPanda	1
76	Kakolbus	1
76	CollinMH06	1
76	Jackattack53	1
76	King_Pancake1	1
76	cwartzo	1
76	Hiryu27	1
76	Gmoney390	1
76	ogoa	1
76	KnightmareD	1
76	Syropatathe	1
76	lillips	1
76	Lutres_Torane	1
76	HellsSponge	1
76	_Karmaa	1
76	Shogunite	1
76	Quaintster	1
76	Steven1282598	1
76	DolphinLaugh	1
76	MakeHistory157	1
76	KG1999	1
76	YungMaki	1
76	stahouo	1
76	PortlyPete69	1
76	ZeroKraken	1
76	Eczbek	1
76	2blox	1
76	kinas45y5	1
76	EcksDofficial	1
76	Freedrik	1
