rank	username	minecraft:dropped/minecraft:cyan_stained_glass_pane
1	Awyrlas	578
2	NameGenerat0r	66
3	Blaiku	64
4	Diavri	26
5	beeperbeeper5	18
6	Eraxa	16
7	Ezekson	8
7	PlasticOtari	8
9	lordpipe	5
10	joethahobo	3
11	Fullut	2
11	burbankbuilder28	2
11	AltnumberF4	2
11	jnp_gaming	2
15	ImpavidArcher	1
15	SteveCraftBlocks	1
15	2Stout	1
