rank	username	minecraft:dropped/minecraft:spruce_planks
1	noam464	412949
2	Hyp3rion_	353006
3	Spacewardharpy7	129710
4	catandmoose	67058
5	EcksD	45135
6	mihimihimihi	9532
7	Jackattack53	8212
8	thewindmillman	4055
9	k_ce	2090
10	Skylord_Luke	1591
11	zToasty69z	1346
12	rarrq	1343
13	Lez_	1221
14	diamondgolem35	1077
15	eitanzaki	1049
16	Ezekson	1036
17	PazinGaming	978
18	Wowful	783
19	Segotep999	771
20	Frozil20	697
21	Xclax101	658
22	Di_infiri	655
23	lcvezra	654
24	kekhon	633
25	xzvu	609
26	Kowcio_	607
27	AdmiralSmoke	590
28	SkateboardR6	588
29	ewsophie	582
30	EveryonesUncle	569
31	_Huge_Male_	559
32	Rebytre	558
33	Uzbeki_John	532
33	Inchef	532
35	KingMatthew506	530
36	beeperbeeper5	529
37	Lord_Zacler	482
38	pixelviolin	464
39	Jimb0nat0r	429
40	RobotMinion101	385
41	JayToe	374
42	PigDab	364
43	H0UNDFRMH3LL	358
43	EMC_	358
45	Saucepeh	350
46	Manaateee	341
47	fkGrim	336
48	Blu3beast	333
49	Merv__	327
50	luseis	320
51	lordpipe	312
52	SpacesickPrism	295
53	_Karmaa	294
54	Akoot_	292
55	ECstardust	286
56	set67	276
57	lewieinnit	265
58	Spenduh	263
59	TheWildMateo	246
59	ConnorDanky_	246
61	MrKrabOnCoke	245
62	Racengan	243
63	TheSecondLord	242
64	heysushii	238
65	Zythose	231
66	lillips	228
66	Skippeh	228
68	q_wq	226
69	Blackberry1310	216
70	Huwulling	208
71	TechnoNinja64	199
72	blackmage426	197
73	500am	194
73	HellsSponge	194
75	IceYoung	192
75	Pickel_Lord	192
77	Smashic	186
78	hm947	183
79	burbankbuilder28	178
80	Chromary	177
80	Mattesco	177
82	Blaiku	165
82	babyjimmyneutron	165
84	Archsam	163
85	trexgb	161
86	ConcretePirate	160
87	_Dean_123	156
88	Mahoose	150
89	UCP_TheKingK	148
90	SteveCraftBlocks	146
90	ItsMrRamen	146
92	6king6colt6	145
93	AltnumberF4	144
94	TheOuterCore	141
95	Eraxa	140
96	Tyrannosplart	139
97	SuperPooch06	137
97	Luminad3	137
99	Alteriity	134
100	skrongus	131
101	JoCoLi	130
102	CyL0_	128
103	jcool7	127
104	lunathelemon	126
105	Cryptacity	125
106	sammidk	124
107	T045RTY	122
108	NotKaden_	121
108	MovingFish7	121
110	CattSoup	118
111	Nicserso	115
112	Kakolbus	113
113	Furiuosbeast0404	112
114	LeonelSalamanca	109
115	ApophisNova	108
115	MyNamaSheff	108
117	ImNotYuqii	106
118	xxPipperDipperxx	103
